Species ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Authority,Infraspecific rank,Infraspecific name,Infraspecific authority,Stock/subpopulation,Synonyms,Common names (Eng),Common names (Fre),Common names (Spa),Red List status,Red List criteria,Red List criteria version,Year assessed,Population trend,Petitioned
11142,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Lagenorhynchus,albirostris,"(Gray, 1846)",,,,,"",White-beaked Dolphin,"Dauphin À Bec Blanc, Lagénorhynque À Bec Blanc De L'Atlantique","Delfín De Pico Blanco, Delfín De Pico Blanco",LC,,3.1,2008,unknown,N
11143,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Lagenorhynchus,australis,"(Peale, 1848)",,,,,"","Blackchin Dolphin, Peale's Dolphin","Dauphin De Peale, Lagénorhynque De Peale",Delfín Austral,DD,,3.1,2008,unknown,N
11144,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Lagenorhynchus,cruciger,"(Quoy & Gaimard, 1824)",,,,,"",Hourglass Dolphin,"Dauphin Crucigère, Lagénorhynque Crucigère",Delfín Cruzado,LC,,3.1,2008,unknown,N
11145,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Lagenorhynchus,obliquidens,"Gill, 1865",,,,,"",Pacific White-sided Dolphin,Lagénorhynque À Flanc Blanc Du Pacifique,Delfín Lagenor Ringo,LC,,3.1,2008,unknown,N
11146,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Lagenorhynchus,obscurus,"(Gray, 1828)",,,,,"",Dusky Dolphin,Lagénorhynque Sombre,"Delfín Listado, Delfín Obscuro",DD,,3.1,2008,unknown,N
11696,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,PHOCIDAE,Leptonychotes,weddellii,"(Lesson, 1826)",,,,,"",Weddell Seal,,,LC,,3.1,2008,unknown,N
12125,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Lissodelphis,borealis,"(Peale, 1848)",,,,,"",Northern Right Whale Dolphin,"Dauphin À Dos Lisse Boréal, Dauphin Aptère Boréal",Delfín Liso Del Norte,LC,,3.1,2008,unknown,N
12126,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Lissodelphis,peronii,"(Lacépède, 1804)",,,,,"",Southern Right Whale Dolphin,Dauphin Aptère Austral,"Delfín Liso Austral, Tunina Sinaleta",DD,,3.1,2008,unknown,N
12246,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,PHOCIDAE,Lobodon,carcinophaga,"(Hombron & Jacquinot, 1842)",,,,,"",Crabeater Seal,,,LC,,3.1,2008,unknown,N
12302,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Lontra,canadensis,"(Schreber, 1777)",,,,,"","North American Otter, North American River Otter, Northern River Otter",Loutre Du Canada,"Nutria De Canadá, Nutria Norteamericana",LC,,3.1,2008,stable,N
