genus,species,region,CITES,BGs,priority,notes
Aconitum,ferox,"E.Asia, Himalaya, N.India",,9,3,
Aconitum,heterophyllum,"E.Asia, Nepal/western Himalaya, India",,4,3,
Aloe,spp.,tropical Africa,II (except A.vera) 890 species listed,,3,Particularly Aloe turkanensis
Aquilaria,spp.,Indomalaysia,II (31 species),,3,
Balanites,aegyptiaca,N tropical Africa to E Med,,10,3,
Cinchona,spp.,Andes to Costa Rica,,,3,
Cordyceps,sinensis,Asia,,0,3,
Coscinium,fenestratum,"Southern India, Sri Lanka",,1,3,
Dactylorhiza,hatagirea,"Himalaya, India, Pakistan, Nepal, Tibet",II,0,3,
Eucommia,ulmoides,China,,97,3,
Gastrodia,elata,SE Asia,II,4,3,
Gentiana,lutea,"Europe, W Asia",,48,3,
Hoodia,spp.,southern Africa,50 species listed on II,,3, Particularly H.gordonii
Magnolia,officinalis,China,II,39,3,
Nardostachys,grandiflora,Nepal/Himalaya,II,3,3,syn: Nardostachys jatamansi
Neopicrorrhiza,scrophulariflora,Nepal/Himalaya,II,0,3,syn: Picrorhiza scrophulariiflora
Nothapodytes,nimmoniana,southern India,,0,3,
Oroxylum,indicum,"Nepal/Himalaya, southern India",II,16,3,
Osyris,lanceolata,E Africa,,1,3,
Paris,yunnanensis,China,,2,3,syn: Paris polyphylla var.yunnanensis
Panax,spp.,"N America, E Asia",2 species on II,,3,Particulalry P. vietnamensis and population specific P.ginseng
Podophyllum,hexandrum,Nepal/western Himalaya,II,45,3,syn: Sinopodophyllum emodi
Prunus,africana,tropical and S Africa,II,3,3,
Rauvolfia,serpentina,"Southern India, Vietnam",II,22,3,
Rhoicissus,revoilii,tropical and S Africa,,5,3,
Saraca,asoca,Southern India,,1,3,
Saussurea,costus,E Himalaya,I,6,3,syn: S.lappa
Sideritis,raeseri,Europe,,1,3,
Swertia,chirayita,"Himalaya, India",,0,3,
Taxus,wallichiana,Nepal/Western Himalaya,II,19,3,
Toddalia,asiatica,Africa,,0,3,
Warburgia,salutaris,E Africa,,1,3,
Withania,somnifera,"Africa, India",,26,3,
Zanha,africana,E Africa,,0,3,
Zanthoxylum,chalybeum,Africa,,0,3,
Acacia,elatior,Africa,,0,2, ssp. elatior
Acacia,nilotica,"tropical Africa, natur.India",,16,2,
Acacia,tortilis,Africa and Middle East,,8,2,
Acanthopanax,gracilistylus,Vietnam,,4,2, (Elutherococcus)
Acanthopanax,rufinerve,Korea,,0,2,
Achillea,fragrantissima,Arabian peninsula,,2,2,
Acokanthera,oppositifolia,"Tropical, E and S Africa",,9,2,
Aconitum,balfourii,Himalaya,,1,2,
Aconitum,spicatum,"China, India, Nepal, Bhutan",,2,2,
Acorus,calamus,temperate North; from India to New Guinea,,57,2,
Adansonia,digitata,tropical Africa,,67,2,
Adenia,gummifera,South Africa,,2,2,
Adenia,hondala,southern India,,0,2
Adiantum,capillus-veneris,Europe,,0,2
Adonis,vernalis,C and S Europe,II,37,2
Ageratum,conyzoides,"tropical America, now pan-tropic",,17,2
Agrimonia,eupatoria,Europe,,52,2
Albizia,anthelmintica,tropical and southern Africa,,0,2
Albizia,coriaria,N and C Africa,,4,2
Albizia,suluensis,South Africa,,1,2
Albuca,fastigiata,South Africa,,3,2
Allium,stracheyi,western Himalaya,,1,2
Aloe,calidophila,tropical Africa,II,2,2
Aloe,elgonica,tropical Africa,II,18,2
Aloe,linearifolia,South Africa,II,3,2
Aloe,secundiflora,tropical Africa,II,39,2
Aloe,turkanensis,tropical Africa,II,3,2
Aloysia,triphylla,South America,,32,2
Amsonia,elliptica,"Japan, Chin, Korea",,2,2
Anabasis,ophyila,Europe,,0,2
Anemarrhena,asphodeloides,N.China and Japan,,7,2
Anogeissus,leiocarpa,tropical Africa,,1,2
Ansellia,africana,South Africa,II,26,2
Aquilaria,crassna,Vietnam,II,1,2
Aquilaria,malaccensis,Indonesia and Malaysia,II,3,2
Aquilaria,sinensis,South China and Hong Kong,II,6,2
Aralia,continentalis,"W and N China, Korea, Siberia",,17,2
Arctostaphylos,uva-ursi,"N.America, N.Euope, N.Asia",,53,2
Ariocarpus,bravoanus,Mexico,I,6,2
Ariocarpus,kotschoubeyanus,Mexico,I,25,2
Arisaema,convolutum,Asia,,0,2
Arisaema,peninsulae,Asia,,4,2
Aristolochia,tuberosa,Vietnam,,1,2
Arnebia,benthami,western Himalaya,,1,2
Arnica,montana,C and N Europe,,44,2,
Artemisia,alba,Europe,,25,2,
Artemisia,siberi,Palestine,,0,2,
Arum,spp.,Europe,,,2,
Asarum,balansae,Vietnam,,0,2,
Asarum,heterotropoides,"E Asia, N Japan",,0,2,var. seoulense
Asparagus,racemosus,"China, Japan, India",,7,2,
Asteropeia,labatii,Madagascar,,0,2,
Asteropeia,mcphersonii,Madagascar,,0,2,
Atropa,acuminate,Himalaya,II,0,2,
Azadirachta,indica,pan tropical,,19,2,
Ballota,kaiseri,Egypt,,0,2,
Begonia,homonyma,South Africa,,11,2,
Berberis,aristata,Nepal,,24,2,
Berberis,koreana,Korea,,44,2,
Bergenia,ciliata,W Pakistan to SW Nepal,,28,2,
Bergenia,pacifica,far east Russia,,4,2,
Bistorta,amplexicaulis,Himalaya,,4,2, (Persicaria)
Bletilla,striata,"China, Japan",II,46,2,
Boschniakia,rossica,"Russia, China, Japan",,0,2,
Boswellia,neglecta,Africa,,2,2,
