Species ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Authority,Infraspecific rank,Infraspecific name,Infraspecific authority,Stock/subpopulation,Synonyms,Common names (Eng),Common names (Fre),Common names (Spa),Red List status,Red List criteria,Red List criteria version,Year assessed,Population trend,Petitioned
169076,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ARALES,ACORACEAE,Acorus,gramineus,Sol.,,,,,"","Japanese Sweet Flag, Dwarf Sedge, Japanese Rush",,,LC,,3.1,2011,unknown,N
100600449,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anas,bernieri,"(Hartlaub, 1860)",,,,,"","Bernier's Teal, Madagascar Teal","Canard de Bernier, Sarcelle de Bernier, Sarcelle de Madagascar, Sarcelle malgache de Bernier","Cerceta de Madagascar, Cerceta Malgache, Pato de Bernier",EN,C2a(ii),3.1,2008,decreasing,N
106003122,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,thoracicus,"(Richmond, 1896)",,,,,"","Black-banded Plover, Madagascar Plover",Gravelot de Madagascar,,VU,C2a(i),3.1,2008,decreasing,N
60152,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,DASYATIDAE,Dasyatis,dipterura,"Jordan & Gilbert, 1880",,,,,Dasyatis brevis  |Dasyatis dipterurus  |Dasyatis hawaiiensis  ,Diamond Stingray,,"Batana, Manta Raya, Raya Látigo, Raya Lodera",DD,,3.1,2006,unknown,N
167942,ANIMALIA,CHORDATA,ACTINOPTERYGII,CHARACIFORMES,HEPSETIDAE,Hepsetus,odoe,"(Bloch, 1794)",,,,,Hepsetus odoe lineata  |Hydrocyonoides cuvieri  |Hydrocyonoides odoe  |Salmo odoe  |Sarcodaces odoe  |Sarcodaces odoe lineata  |Sarcodaces odoe microlepis  |Xiphorhamphus odoe  |Xiphorynchus odoe  ,"African pike, Kafue pike, Kafue pike characin, Kafue pike (FB), Pike characid",Brochet,,LC,,3.1,2010,unknown,N
11534,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,CHELONIIDAE,Lepidochelys,olivacea,"(Eschscholtz, 1829)",,,,,Chelonia olivacea  ,"Olive Ridley, Pacific Ridley","Ridley du Pacifique, Tortue Bâtarde, Tortue de Ridley, Tortue Olivâtre","Tortuga Carpintera, Tortuga Golfina, Tortuga Guaraguá, Tortuga Lora, Tortuga Manila, Tortuga Mulato, Tortuga Olivacea, Tortuga Parlama",VU,A2bd,3.1,2008,decreasing,N
189425,ANIMALIA,MOLLUSCA,GASTROPODA,ALLOGASTROPODA,PYRAMIDELLIDAE,Morrisonietta,acicula,"Brandt, 1968",,,,,"",,,,DD,,3.1,2011,unknown,N
189619,ANIMALIA,MOLLUSCA,GASTROPODA,ALLOGASTROPODA,PYRAMIDELLIDAE,Morrisonietta,bandonensis,"Brandt, 1968",,,,,"",,,,DD,,3.1,2011,unknown,N
13891,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,Mortonagrion,hirosei,"Asahina, 1972",,,,,"",Four-spot Midget,,,NT,,3.1,2011,unknown,N
182842,ANIMALIA,CHORDATA,ACTINOPTERYGII,CLUPEIFORMES,CLUPEIDAE,Nannothrissa,parva,"(Regan, 1917)",,,,,Microthrissa parva  ,"Lake Tumba dwarf sprat, Lake Tumba dwarf sprat (FB)",,,LC,,3.1,2010,unknown,N
167997,ANIMALIA,CHORDATA,ACTINOPTERYGII,CLUPEIFORMES,CLUPEIDAE,Pellonula,vorax,"Günther, 1868",,,,,Pellonula modesta  |Pellonula stanleyana  ,Bigtoothed Pellonula,"Pellonale, Sprat",,LC,,3.1,2010,unknown,N
182285,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,GOBIIDAE,Periophthalmus,barbarus,"(Linnaeus, 1766)",,,,,Gobius barbarus  |Gobius koelreuteri  |Peiophthalmus erythronemus  |Periophtalmus barbarus  |Periophtalmus barbatus  |Periophtalmus koelrenteri  |Periophtalmus koelreuteri  |Periophtalmus koelruteri  |Periophtalmus papilio  |Periophthalmus chrysospilos  |Periophthalmus chrysospilus  |Periophthalmus erythronotus  |Periophthalmus gabonicus  |Periophthalmus koelreuteri  |Periophthalmus koelreuteri koelreuteri  |Periophthalmus koelreuteri papilio  |Periophthalmus papilio  |Periophthalmus papillon  |Periopthalmus barbarus  ,"Atlantic Mudskipper, Jumbo Fish, Mud-hopper, Mud-skipper","Périophthalme, Sauteur De Vase Atlantique",Saltafango Atlántico,LC,,3.1,2010,unknown,N
182062,ANIMALIA,CHORDATA,ACTINOPTERYGII,POLYPTERIFORMES,POLYPTERIDAE,Polypterus,ornatipinnis,"Boulenger, 1902",,,,,Polypterus weeksii  ,"Ornate bichir, Ornate bichir (FB)",,,LC,,3.1,2010,unknown,N
164823,ANIMALIA,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,BITHYNIIDAE,Pseudobithynia,kathrinae,"Glöer & Bößneck, 2007",,,,,"",,,,CR,B1ab(iii)+2ab(iii),3.1,2011,unknown,N
164860,ANIMALIA,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,BITHYNIIDAE,Pseudobithynia,levantica,"Glöer & Bößneck, 2007",,,,,"",,,,EN,B1ab(iii)+2ab(iii),3.1,2011,unknown,N
189296,ANIMALIA,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,STENOTHYRIDAE,Stenothyra,mandahlbarthi,"Brandt, 1968",,,,,"",,,,LC,,3.1,2011,unknown,N
