Latest value(s),,Water resources: total renewable per capita (actual) (m3/inhab/yr),
Afghanistan,2010,2069,K
Albania,2010,13015,K
Algeria,2010,329,K
Andorra,2010,3713,E
Angola,2010,7756,K
Antigua and Barbuda,2010,584.3,K
Argentina,2010,20143,K
Armenia,2010,2513,K
Australia,2010,22094,K
Austria,2010,9257,K
Azerbaijan,2010,3774,K
Bahamas,2010,58.31,K
Bahrain,2010,91.92,K
Bangladesh,2010,8252,K
Barbados,2010,293,K
Belarus,2010,6045,K
Belgium,2010,1708,K
Belize,2010,59455,K
Benin,2010,2982,K
Bhutan,2010,107438,K
Bolivia (Plurinational State of),2010,62689,K
Bosnia and Herzegovina,2010,9973,K
Botswana,2010,6099,K
Brazil,2010,42232,K
Brunei,2010,21303,K
Bulgaria,2010,2842,K
Burkina Faso,2010,759,K
Burundi,2010,1496,K
Cambodia,2010,33675,K
Cameroon,2010,14567,K
Canada,2010,85310,K
Cape Verde,2010,604.8,K
Central African Republic,2010,32811,K
Chad,2010,3830,K
Chile,2010,53874,K
China,2010,2070,K
Colombia,2010,46052,K
Comoros,2010,1633,K
Congo,2010,205788,K
Cook Islands,,,
Costa Rica,2010,24125,K
Côte d'Ivoire,2010,4111,K
Croatia,2010,23961,K
Cuba,2010,3386,K
Cyprus,2010,706.5,K
Czech Republic,2010,1253,K
Democratic People's Republic of Korea,2010,3169,K
Democratic Republic of the Congo,2010,19449,K
Denmark,2010,1081,K
Djibouti,2010,337.5,K
Dominica,,,
Dominican Republic,2010,2115,K
Ecuador,2010,29340,K
Egypt,2010,706.4,K
El Salvador,2010,4074,K
Equatorial Guinea,2010,37143,K
Eritrea,2010,1199,K
Estonia,2010,9553,K
Ethiopia,2010,1471,K
Faroe Islands,,,
Fiji,2010,33159,K
Finland,2010,20503,K
France,2010,3361,K
French Guiana,2010,580087,K
Gabon,2010,108970,K
Gambia,2010,4630,K
Georgia,2010,14552,K
Germany,2010,1871,K
Ghana,2010,2181,K
Greece,2010,6537,K
Grenada,,,
Guatemala,2010,7735,K
Guinea,2010,22641,K
Guinea-Bissau,2010,20462,K
Guyana,2010,319629,K
Haiti,2010,1404,K
Holy See,,,
Honduras,2010,12621,K
Hungary,2010,10417,K
Iceland,2010,531250,K
India,2010,1560,K
Indonesia,2010,8417,K
Iran (Islamic Republic of),2010,1859,K
Iraq,2010,2387,K
Ireland,2010,11633,K
Israel,2010,240,K
Italy,2010,3159,K
Jamaica,2010,3431,K
Japan,2010,3398,K
Jordan,2010,151.4,K
Kazakhstan,2010,6839,K
Kenya,2010,757.8,K
Kiribati,,,
Kuwait,2010,7.307,K
Kyrgyzstan,2010,9177,K
Laos,2010,53782,K
Latvia,2010,15742,K
Lebanon,2010,1065,K
Lesotho,2010,2409,K
Liberia,2010,58087,K
Libya,2010,110.1,K
Liechtenstein,,,
Lithuania,2010,7491,K
Luxembourg,2010,6114,K
Madagascar,2010,16269,K
Malawi,2010,1160,K
Malaysia,2010,20422,K
Maldives,2010,94.94,K
Mali,2010,6506,K
Malta,2010,121.1,K
Marshall Islands,,,
Mauritania,2010,3295,K
Mauritius,2010,2118,K
Mexico,2010,4031,K
Micronesia (Federated States of),,,
Monaco,,,
Mongolia,2010,12627,K
Montenegro,,,
Morocco,2010,907.6,K
Mozambique,2010,9281,K
Myanmar,2010,24352,K
Namibia,2010,7762,K
Nauru,,,
Nepal,2010,7016,K
Netherlands,2010,5478,K
New Zealand,2010,74863,K
Nicaragua,2010,33967,K
Niger,2010,2169,K
Nigeria,2010,1807,K
Niue,,,
Norway,2010,78231,K
Occupied Palestinian Territory,2010,207.2,K
Oman,2010,503.2,K
Pakistan,2010,1422,K
Palau,,,
Panama,2010,42081,K
Papua New Guinea,2010,116798,K
Paraguay,2010,52053,K
Peru,2010,65791,K
Phillippines,2010,5136,K
Poland,2010,1609,K
Portugal,2010,6435,K
Puerto Rico,2010,1894,K
Qatar,2010,32.97,K
Republic of Korea,2010,1447,K
Republic of Moldova,2010,3261,K
Romania,2010,9862,K
Russian Federation,2010,31534,K
Rwanda,2010,894.2,K
Saint Kitts and Nevis,2010,461.5,K
Saint Lucia,,,
Saint Vincent and the Grenadines,,,
Samoa,,,
San Marino,,,
Sao Tome and Principe,2010,13212,K
Saudi Arabia,2010,87.44,K
Senegal,2010,3120,K
Serbia,2010,16457,E
