Species ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Authority,Infraspecific rank,Infraspecific name,Infraspecific authority,Stock/subpopulation,Synonyms,Common names (Eng),Common names (Fre),Common names (Spa),Red List status,Red List criteria,Red List criteria version,Year assessed,Population trend,Petitioned
180806,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Cyclocheilichthys,furcatus,"Sontirat, 1985",,,,,"",Mekong Giant Barb,,,LC,,3.1,2011,unknown,N
189793,ANIMALIA,MOLLUSCA,GASTROPODA,EUPULMONATA,ELLOBIIDAE,Cylindrotis,quadrasi,"Moellendorff, 1895",,,,,"",,,,LC,,3.1,2011,unknown,N
6082,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,VIVERRIDAE,Cynogale,bennettii,"Gray, 1837",,,,,"","Otter-civet, Otter Civet, Sunda Otter Civet",Civette-loutre De Sumatra,Cibeta Nutria,EN,A2ce,3.1,2008,unknown,N
178829,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FABALES,LEGUMINOSAE,Cynometra,iripa,Kostel.,,,,,"",,,,LC,,3.1,2010,decreasing,N
6154,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINODONTIFORMES,CYPRINODONTIDAE,Cyprinodon,labiosus,"Humphries & Miller, 1981",,,,,"",Thicklip Pupfish,,Cachorrito Cangrejero,CR,B1ab(v),3.1,2009,decreasing,N
169273,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,CHLOROCYPHIDAE,Cyrano,unicolor,"(Hagen, 1869)",,,,,Rhinocypha unicolor  ,,,,LC,,3.1,2009,decreasing,N
100600349,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Dendrocygna,bicolor,"(Vieillot, 1816)",,,,,"","Fulvous Duck, Fulvous Whistling-duck, Fulvous Whistling Duck, Fulvous Whistling-Duck",Dendrocygne fauve,,LC,,3.1,2009,,N
33705,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SCROPHULARIALES,BIGNONIACEAE,Dolichandrone,spathacea,(L.f.) Baill. ex K.Schum.,,,,,"",,,,LC,,3.1,2010,decreasing,N
106003712,ANIMALIA,CHORDATA,AVES,CICONIIFORMES,ARDEIDAE,Egretta,eulophotes,"(Swinhoe, 1860)",,,,,"",Chinese Egret,,,VU,C2a(i),3.1,2008,decreasing,N
56451,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ELEUTHERODACTYLIDAE,Eleutherodactylus,barlagnei,"Lynch, 1965",,,,,"",,,,EN,B1ab(iii)+2ab(iii),3.1,2010,stable,N
189557,ANIMALIA,MOLLUSCA,GASTROPODA,EUPULMONATA,ELLOBIIDAE,Ellobium,aurisjudae,"Linnaeus, 1758",,,,,Auricula auris-judae  |Auricula judae  |Ellobium labrosum  |Ellobium subtile  ,Judas Ear Cassidula,Auricule de Judas,,LC,,3.1,2011,stable,N
189167,ANIMALIA,MOLLUSCA,GASTROPODA,EUPULMONATA,ELLOBIIDAE,Ellobium,aurismidae,"Röding, 1798",,,,,Auricula auris-midae  |Auricula midae  |Ellobium ceramense  |Ellobium midae  ,Midas Ear Cassidula,,,LC,,3.1,2011,unknown,N
189403,ANIMALIA,MOLLUSCA,GASTROPODA,EUPULMONATA,ELLOBIIDAE,Ellobium,chinense,"Pfeiffer, 1854",,,,,Ellobium chinensis  ,,,,DD,,3.1,2011,unknown,N
173331,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,HYDROCHARITALES,HYDROCHARITACEAE,Enhalus,acoroides,(L.f.) Royle,,,,,"",Species code: Ea,,,LC,,3.1,2010,decreasing,N
106003837,ANIMALIA,CHORDATA,AVES,CICONIIFORMES,CICONIIDAE,Ephippiorhynchus,asiaticus,"(Latham, 1790)",,,,,"",Black-necked Stork,,Jabirú Asiático,NT,,3.1,2008,decreasing,N
195409,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SERRANIDAE,Epinephelus,itajara,"(Lichtenstein, 1822)",,,,,Promicrops ditobo  |Promicrops esonue  |Serranus galeus  |Serranus guasa  |Serranus itajara  |Serranus mentzelii  ,"Atlantic Goliath Grouper, Goliath Grouper, Jewfish","Mérou, Mérou Géant, Têtard","Cherna, Cherne, Guasa, Guato, Guaza, Mero, Mero Batata, Mero Guasa, Mero Güasa, Mero Pintado, Mero Sapo",CR,A2d,3.1,2011,unknown,N
61338,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SERRANIDAE,Epinephelus,malabaricus,"(Bloch & Schneider, 1801)",,,,,"",Malabar Grouper,Mérou Malabare,Mero Malabárico,NT,,3.1,2006,decreasing,N
183883,ANIMALIA,CHORDATA,ACTINOPTERYGII,ANGUILLIFORMES,OPHICHTHIDAE,Ethadophis,byrnei,"Rosenblatt & McCosker, 1970",,,,,"",Ordinary snake-eel,,"Tieso de Byrnes, Tieso de Cortés",DD,,3.1,2010,unknown,N
106003060,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Eurynorhynchus,pygmeus,"(Linnaeus, 1758)",,,,,"","Spoon-billed Sandpiper, Spoonbill Sandpiper",,,CR,A2abcd+3bcd+4abcd;C2a(i),3.1,2011,decreasing,N
178842,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,EUPHORBIALES,EUPHORBIACEAE,Excoecaria,agallocha,L.,,,,,"",,,,LC,,3.1,2010,decreasing,N
178836,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,EUPHORBIALES,EUPHORBIACEAE,Excoecaria,indica,(Willd.) Müll.Arg.,,,,,"",,,,DD,,3.1,2010,decreasing,N
8540,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Felis,chaus,"Schreber, 1777",,,,,"","Jungle Cat, Reed Cat, REED CAT, Swamp Cat, SWAMP CAT","Chat De Jungle, CHAT DE JUNGLE, Chat Des Marais, CHAT DES MARAIS","Gato De La Jungla, GATO DE LA JUNGLA, Gato De Los Pantanos, GATO DE LOS PANTANOS",LC,,3.1,2008,decreasing,N
184044,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,GOBIIDAE,Gillichthys,mirabilis,"Cooper, 1864",,,,,"",Longjaw mudsucker,,"Chupalodo grande, Gobio",LC,,3.1,2010,unknown,N
183722,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,GOBIIDAE,Gillichthys,seta,"(Ginsburg, 1938)",,,,,Lepidogobius seta  ,Shortjaw mudsucker,,Chupalodo chico,VU,B2ab(iii),3.1,2010,unknown,N
162188,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,IRIDACEAE,Gladiolus,palustris,Gaudin,,,,,Gladiolus felicis  ,,Glaïeul des Marais,,DD,,3.1,2011,decreasing,N
183466,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ELEOTRIDAE,Gobiomorus,maculatus,"(Günther, 1859)",,,,,Lembus maculatus  ,"Pacific Sleeper, Sleeper",,"Cawa, Guavina",LC,,3.1,2010,unknown,N
106002797,ANIMALIA,CHORDATA,AVES,GRUIFORMES,GRUIDAE,Grus,nigricollis,"Przevalski, 1876",,,,,"","Black-necked Crane, Tibetan Crane",,Grulla Cuellinegra,VU,C2a(ii),3.1,2009,decreasing,N
169266,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,AESHNIDAE,Gynacantha,constricta,"Hämäläinen, 1991",,,,,"",,,,VU,B1ab(iii),3.1,2009,decreasing,N
189056,ANIMALIA,MOLLUSCA,GASTROPODA,HYGROPHILA,PLANORBIDAE,Gyraulus,terraesacrae,"Rensch, 1934",,,,,"",,,,DD,,3.1,2011,unknown,N
106002924,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Habroptila,wallacii,"Gray, 1860",,,,,"","Invisible Rail, Wallace's Rail",,,VU,C2a(i),3.1,2008,decreasing,N
173327,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,NAJADALES,CYMODOCEACEAE,Halodule,pinifolia,(Miki) Hartog,,,,,"",Species code: Hp,,,LC,,3.1,2010,decreasing,N
173371,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,HYDROCHARITALES,HYDROCHARITACEAE,Halophila,australis,Doty & B.C.Stone,,,,,"",Species Code: Ha,,,LC,,3.1,2010,stable,N
173342,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,HYDROCHARITALES,HYDROCHARITACEAE,Halophila,beccarii,Asch.,,,,,"","Ocean Turf Grass, Species code: Hb",,,VU,"B2ab(iii)c(ii,iii)",3.1,2010,decreasing,N
173319,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,HYDROCHARITALES,HYDROCHARITACEAE,Halophila,stipulacea,(Forssk.) Asch.,,,,,"",Species code: Hs,,,LC,,3.1,2010,stable,N
169279,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,CORDULIIDAE,Hemicordulia,apoensis,"Asahina, 1980",,,,,"",,,,EN,B1ab(iii)+2ab(iii),3.1,2009,decreasing,N
178815,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,STERCULIACEAE,Heritiera,fomes,Buch.-Ham.,,,,,"",,,,EN,A2cde,3.1,2010,decreasing,N
178807,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,STERCULIACEAE,Heritiera,globosa,Kosterm.,,,,,"",,,,EN,B1ab(iii),3.1,2010,decreasing,N
178852,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,STERCULIACEAE,Heritiera,littoralis,Aiton,,,,,"",,,,LC,,3.1,2010,decreasing,N
182390,ANIMALIA,CHORDATA,ACTINOPTERYGII,SILURIFORMES,CLARIIDAE,Heterobranchus,longifilis,"Valenciennes, 1840",,,,,Clarias loangwensis  |Heterobranchus laticeps  |Heterobranchus platycephalus  ,"Catfish, Sampa, Vundu, Vundu (FB)",,,LC,,3.1,2010,unknown,N
185261,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SCROPHULARIALES,ACANTHACEAE,Hygrophila,laevis,(Nees) Lindau,,,,,Kita laevis  |Nomophila laevis  ,,,,DD,,3.1,2010,unknown,N
54602,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Incilius,canaliferus,"(Cope, 1877)",,,,,Bufo canaliferus  ,,,,LC,,3.1,2010,stable,N
189103,ANIMALIA,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,IRAVADIIDAE,Iravadia,mahimensis,"(Melvill, 1893)",,,,,Merelina solida  |Merelina sucina  ,,,,LC,,3.1,2011,unknown,N
178857,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,RHIZOPHORALES,RHIZOPHORACEAE,Kandelia,candel,(L.) Druce,,,,,"",,,,LC,,3.1,2010,decreasing,N
178855,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,RHIZOPHORALES,RHIZOPHORACEAE,Kandelia,obovata,"Sheue, H.Y.Liu & J.Yong",,,,,"",,,,LC,,3.1,2010,decreasing,N
63280,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Labeo,capensis,"(Smith, 1841)",,,,,"",Orange River Mudfish,,,LC,,3.1,2007,unknown,N
63288,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Labeo,umbratus,"(Smith, 1841)",,,,,"",Moggel,,,LC,,3.1,2007,unknown,N
63289,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Labeobarbus,aeneus,"(Burchell, 1822)",,,,,Barbus aeneus  ,Vaal-orange Smallmouth Yellowfish,,,LC,,3.1,2007,unknown,N
189618,ANIMALIA,MOLLUSCA,GASTROPODA,EUPULMONATA,ELLOBIIDAE,Laemodonta,bella,"(H. & A. Adams, 1855)",,,,,Plecotrema bella  ,,,,LC,,3.1,2011,unknown,N
189201,ANIMALIA,MOLLUSCA,GASTROPODA,EUPULMONATA,ELLOBIIDAE,Laemodonta,exaratoides,"Kawabe, 1992",,,,,"",,,,DD,,3.1,2011,unknown,N
189378,ANIMALIA,MOLLUSCA,GASTROPODA,EUPULMONATA,ELLOBIIDAE,Laemodonta,punctigera,"(H. & A. Adams, 1854)",,,,,Cassidula punctigera  |Melosidula granosula  |Pedipes liratulus  |Plectotrema punctigera  ,,,,LC,,3.1,2011,unknown,N
189480,ANIMALIA,MOLLUSCA,GASTROPODA,EUPULMONATA,ELLOBIIDAE,Laemodonta,striata,"Philippi, 1846",,,,,"",,,,LC,,3.1,2011,unknown,N
178798,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,COMBRETACEAE,Laguncularia,racemosa,(L.) C.F.Gaertn,,,,,"",White Mangrove,,Mangle Blanco,LC,,3.1,2010,decreasing,N
106003243,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,LARIDAE,Larus,saundersi,"(Swinhoe, 1871)",,,,,"","Chinese Black-headed Gull, Saunders's Gull",,,VU,A3c,3.1,2010,decreasing,N
181839,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LATIDAE,Lates,niloticus,"(Linnaeus, 1758)",,,,,Centropomus niloticus  |Centropomus niloticus  |Labrus niloticus  |Lates albertianus  |Lates niloticus albertianus  |Lates niloticus macrolepidota  |Lates niloticus macrolepidotus  |Lates nilotus rudolfianus  |Perca latus  |Perca nilotica  ,"African snook, Nile perch, Nile perch (FB), Victoria perch",Perche du Nil,Perca del Nilo,LC,,3.1,2010,unknown,N
106003840,ANIMALIA,CHORDATA,AVES,CICONIIFORMES,CICONIIDAE,Leptoptilos,javanicus,"(Horsfield, 1821)",,,,,"",Lesser Adjutant,,,VU,A2cd+3cd+4cd,3.1,2008,decreasing,N
183267,ANIMALIA,CHORDATA,ACTINOPTERYGII,ATHERINIFORMES,ATHERINOPSIDAE,Leuresthes,sardina,"(Jenkins and Evermann, 1888)",,,,,"",Gulf Grunion,,,NT,,3.1,2010,decreasing,N
12302,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Lontra,canadensis,"(Schreber, 1777)",,,,,"","North American Otter, North American River Otter, Northern River Otter",Loutre Du Canada,"Nutria De Canadá, Nutria Norteamericana",LC,,3.1,2008,stable,N
12305,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Lontra,provocax,"(Thomas, 1908)",,,,,Lutra provocax  ,"Southern River Otter, Huillin",Loutre Du Chili,"Huillín, Lobito Patagonica, Nutria De Chile",EN,A3cd,3.1,2008,decreasing,N
178854,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,COMBRETACEAE,Lumnitzera,littorea,(Jack) Voigt,,,,,"",,,,LC,,3.1,2010,decreasing,N
178846,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,COMBRETACEAE,Lumnitzera,racemosa,Willd.,,,,,"",,,,LC,,3.1,2010,decreasing,N
162134,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ALISMATALES,ALISMATACEAE,Luronium,natans,(L.) Raf.,,,,,"",,,,LC,,3.1,2011,decreasing,N
12419,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Lutra,lutra,"(Linnaeus, 1758)",,,,,Lutra nippon  ,"Eurasian Otter, Common Otter, European Otter, European River Otter, Old World Otter","Loutre Commune, Loutre De Rivière, Loutre D'Europe","NUTRIA, Nutria Común",NT,,3.1,2008,decreasing,N
12421,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Lutra,sumatrana,"(Gray, 1865)",,,,,"",Hairy-nosed Otter,Loutre De Sumatra,Nutria De Sumatra,EN,A2cd,3.1,2008,decreasing,N
12427,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Lutrogale,perspicillata,"(I. Geoffroy Saint-Hilaire, 1826)",,,,,Lutra perspicillata  ,"Smooth-coated Otter, Indian Smooth-coated Otter",Loutre D'Asie,"Nutria Lisa, Nutria Simung",VU,A2acd,3.1,2008,decreasing,N
184701,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,MARGARITIFERIDAE,Margaritifera,marocana,"(Pallary, 1918)",,,,,Margaritana dernaica  |Margaritana dernaica var.ponderosa  |Margaritana redomica  ,,,,CR,A2c;C1,3.1,2010,decreasing,N
189424,ANIMALIA,MOLLUSCA,GASTROPODA,EUPULMONATA,ELLOBIIDAE,Melampus,coffeus,"(Linnaeus, 1758)",,,,,Auricula biplicata  |Auricula coniformis  |Auricula olivula  |Bulimus coniformis  |Bulla coffea  |Conovulus coniformis  |Ellobium barbadense  |Melampus microspira  |Pedipes coniformis  |Voluta coffea  ,"Coffee Melampus, Coffee Bean Snail",,,LC,,3.1,2011,unknown,N
188919,ANIMALIA,MOLLUSCA,GASTROPODA,EUPULMONATA,ELLOBIIDAE,Melampus,sincaporensis,"Pfeiffer, 1855",,,,,Melampus singaporensis  ,,,,LC,,3.1,2011,unknown,N
189417,ANIMALIA,MOLLUSCA,GASTROPODA,EUPULMONATA,ELLOBIIDAE,Melampus,striatus,"Pease, 1861",,,,,Melampus montrouzieri  |Melampus ornatus  ,,,,LC,,3.1,2011,unknown,N
188997,ANIMALIA,MOLLUSCA,GASTROPODA,EUPULMONATA,ELLOBIIDAE,Melampus,sulculosus,"von Martens, 1865",,,,,"",,,,LC,,3.1,2011,unknown,N
