Order,Class,Family,Genus,Species,SpecCode,UsedforAquaculture
Perciformes,Actinopterygii,Leiognathidae,Leiognathus,equulus,4451,commercial
Perciformes,Actinopterygii,Lethrinidae,Lethrinus,haematopterus,1856,commercial
Perciformes,Actinopterygii,Lethrinidae,Lethrinus,nebulosus,1846,commercial
Perciformes,Actinopterygii,Lutjanidae,Lutjanus,argentimaculatus,1407,commercial
Perciformes,Actinopterygii,Lutjanidae,Lutjanus,erythropterus,1406,commercial
Perciformes,Actinopterygii,Lutjanidae,Lutjanus,johnii,264,commercial
Perciformes,Actinopterygii,Lutjanidae,Lutjanus,monostigma,166,commercial
Perciformes,Actinopterygii,Lutjanidae,Lutjanus,rivulatus,173,commercial
Perciformes,Actinopterygii,Lutjanidae,Lutjanus,russellii,176,commercial
Perciformes,Actinopterygii,Lutjanidae,Lutjanus,sebae,178,commercial
Perciformes,Actinopterygii,Lutjanidae,Lutjanus,stellatus,180,commercial
Perciformes,Actinopterygii,Lutjanidae,Ocyurus,chrysurus,188,commercial
Perciformes,Actinopterygii,Moronidae,Dicentrarchus,labrax,63,commercial
Perciformes,Actinopterygii,Moronidae,Morone,saxatilis,353,commercial
Perciformes,Actinopterygii,Oplegnathidae,Oplegnathus,fasciatus,6532,commercial
Perciformes,Actinopterygii,Oplegnathidae,Oplegnathus,punctatus,6538,commercial
Perciformes,Actinopterygii,Polynemidae,Eleutheronema,tetradactylum,340,commercial
Perciformes,Actinopterygii,Polynemidae,Polydactylus,plebeius,7901,commercial
Perciformes,Actinopterygii,Pomatomidae,Pomatomus,saltatrix,364,commercial
Perciformes,Actinopterygii,Rachycentridae,Rachycentron,canadum,3542,commercial
Perciformes,Actinopterygii,Scatophagidae,Scatophagus,argus,4698,commercial
Perciformes,Actinopterygii,Sciaenidae,Argyrosomus,japonicus,11979,commercial
Perciformes,Actinopterygii,Sciaenidae,Larimichthys,crocea,428,commercial
Perciformes,Actinopterygii,Sciaenidae,Protonibea,diacanthus,4571,commercial
Perciformes,Actinopterygii,Sciaenidae,Sciaenops,ocellatus,1191,commercial
Perciformes,Actinopterygii,Scombridae,Scomber,japonicus,117,commercial
Perciformes,Actinopterygii,Scombridae,Scomberomorus,niphonius,131,commercial
Perciformes,Actinopterygii,Scombridae,Thunnus,maccoyii,145,commercial
Perciformes,Actinopterygii,Scombridae,Thunnus,orientalis,14290,commercial
Perciformes,Actinopterygii,Scombridae,Thunnus,thynnus,147,commercial
Perciformes,Actinopterygii,Scombridae,Thunnus,thynnus,147,commercial
Perciformes,Actinopterygii,Serranidae,Cromileptes,altivelis,6457,commercial
Perciformes,Actinopterygii,Serranidae,Epinephelus,akaara,5158,commercial
Perciformes,Actinopterygii,Serranidae,Epinephelus,areolatus,5367,commercial
Perciformes,Actinopterygii,Serranidae,Epinephelus,awoara,7329,commercial
Perciformes,Actinopterygii,Serranidae,Epinephelus,bleekeri,7333,commercial
Perciformes,Actinopterygii,Serranidae,Epinephelus,bruneus,7335,commercial
Perciformes,Actinopterygii,Serranidae,Epinephelus,coioides,6465,commercial
Perciformes,Actinopterygii,Serranidae,Epinephelus,fuscoguttatus,4460,commercial
Perciformes,Actinopterygii,Serranidae,Epinephelus,lanceolatus,6468,commercial
Perciformes,Actinopterygii,Serranidae,Epinephelus,malabaricus,6439,commercial
Perciformes,Actinopterygii,Serranidae,Epinephelus,merra,4923,commercial
Perciformes,Actinopterygii,Serranidae,Epinephelus,tauvina,4461,commercial
Perciformes,Actinopterygii,Serranidae,Hyporthodus,septemfasciatus,6574,commercial
Perciformes,Actinopterygii,Serranidae,Plectropomus,leopardus,4826,commercial
Perciformes,Actinopterygii,Serranidae,Plectropomus,maculatus,4886,commercial
Perciformes,Actinopterygii,Siganidae,Siganus,canaliculatus,4456,commercial
Perciformes,Actinopterygii,Siganidae,Siganus,fuscescens,4616,commercial
Perciformes,Actinopterygii,Siganidae,Siganus,guttatus,4588,commercial
Perciformes,Actinopterygii,Siganidae,Siganus,rivulatus,4545,commercial
Perciformes,Actinopterygii,Sillaginidae,Sillago,sihama,4544,commercial
Perciformes,Actinopterygii,Sparidae,Acanthopagrus,australis,8109,commercial
Perciformes,Actinopterygii,Sparidae,Acanthopagrus,latus,6356,commercial
Perciformes,Actinopterygii,Sparidae,Acanthopagrus,schlegelii schlegelii,6531,commercial
Perciformes,Actinopterygii,Sparidae,Acanthopagrus,sivicolus,6583,commercial
Perciformes,Actinopterygii,Sparidae,Dentex,dentex,439,commercial
Perciformes,Actinopterygii,Sparidae,Diplodus,sargus sargus,1753,commercial
Perciformes,Actinopterygii,Sparidae,Evynnis,japonica,5380,commercial
Perciformes,Actinopterygii,Sparidae,Pagrus,major,445,commercial
Perciformes,Actinopterygii,Sparidae,Pagrus,pagrus,1756,commercial
Perciformes,Actinopterygii,Sparidae,Rhabdosargus,sarba,5368,commercial
Perciformes,Actinopterygii,Sparidae,Sparus,aurata,1164,commercial
Perciformes,Actinopterygii,Terapontidae,Rhynchopelates,oxyrhynchus,6581,commercial
Perciformes,Actinopterygii,Terapontidae,Terapon,jarbua,4458,commercial
Petromyzontiformes,Cephalaspidomorphi,Petromyzontidae,Lethenteron,camtschaticum,2524,commercial
Pleuronectiformes,Actinopterygii,Paralichthyidae,Paralichthys,olivaceus,1351,commercial
Pleuronectiformes,Actinopterygii,Pleuronectidae,Pleuronectes,platessa,1342,commercial
Pleuronectiformes,Actinopterygii,Pleuronectidae,Pleuronectes,platessa,1342,commercial
Pleuronectiformes,Actinopterygii,Pleuronectidae,Pseudopleuronectes,yokohamae,8170,commercial
Pleuronectiformes,Actinopterygii,Scophthalmidae,Scophthalmus,maximus,1348,commercial
Pleuronectiformes,Actinopterygii,Scophthalmidae,Scophthalmus,maximus,1348,commercial
Pleuronectiformes,Actinopterygii,Soleidae,Pegusa,impar,1762,commercial
Pleuronectiformes,Actinopterygii,Soleidae,Solea,solea,525,commercial
Pleuronectiformes,Actinopterygii,Soleidae,Solea,solea,525,commercial
Salmoniformes,Actinopterygii,Salmonidae,Coregonus,lavaretus,232,commercial
Salmoniformes,Actinopterygii,Salmonidae,Coregonus,maraena,48236,commercial
Salmoniformes,Actinopterygii,Salmonidae,Coregonus,oxyrinchus,233,commercial
Salmoniformes,Actinopterygii,Salmonidae,Coregonus,peled,4687,commercial
Salmoniformes,Actinopterygii,Salmonidae,Coregonus,pidschian,2676,commercial
Salmoniformes,Actinopterygii,Salmonidae,Oncorhynchus,clarkii clarkii,2688,commercial
Salmoniformes,Actinopterygii,Salmonidae,Oncorhynchus,clarkii clarkii,2688,commercial
Salmoniformes,Actinopterygii,Salmonidae,Oncorhynchus,gorbuscha,240,commercial
Salmoniformes,Actinopterygii,Salmonidae,Oncorhynchus,keta,241,commercial
Salmoniformes,Actinopterygii,Salmonidae,Oncorhynchus,kisutch,245,commercial
Salmoniformes,Actinopterygii,Salmonidae,Oncorhynchus,masou macrostomus,6547,commercial
Salmoniformes,Actinopterygii,Salmonidae,Oncorhynchus,masou masou,242,commercial
Salmoniformes,Actinopterygii,Salmonidae,Oncorhynchus,mykiss,239,commercial
Salmoniformes,Actinopterygii,Salmonidae,Oncorhynchus,nerka,243,commercial
Salmoniformes,Actinopterygii,Salmonidae,Oncorhynchus,tshawytscha,244,commercial
Salmoniformes,Actinopterygii,Salmonidae,Salmo,salar,236,commercial
Salmoniformes,Actinopterygii,Salmonidae,Salmo,salar,236,commercial
Salmoniformes,Actinopterygii,Salmonidae,Salmo,trutta fario,2083,commercial
Salmoniformes,Actinopterygii,Salmonidae,Salmo,trutta trutta,238,commercial
Salmoniformes,Actinopterygii,Salmonidae,Salmo,trutta trutta,238,commercial
Salmoniformes,Actinopterygii,Salmonidae,Salvelinus,alpinus alpinus,247,commercial
Salmoniformes,Actinopterygii,Salmonidae,Salvelinus,fontinalis,246,commercial
Salmoniformes,Actinopterygii,Salmonidae,Stenodus,leucichthys,2692,commercial
Scorpaeniformes,Actinopterygii,Hexagrammidae,Pleurogrammus,azonus,510,commercial
Scorpaeniformes,Actinopterygii,Platycephalidae,Platycephalus,indicus,950,commercial
