"","Order","Family","Species","Occurrence","FishBase name","Name","Use","Use elsewhere","Country"
"2882","Tetraodontiformes","Tetraodontidae","Sphoeroides marmoratus","native","Guinean puffer","","commercial","commercial","Mauritania"
"2892","Tetraodontiformes","Tetraodontidae","Sphoeroides pachygaster","native","Blunthead puffer","","commercial","commercial","Mauritania"
"2902","Perciformes","Sphyraenidae","Sphyraena afra","native","Guinean barracuda","","commercial","commercial","Mauritania"
"29111","Perciformes","Sphyraenidae","Sphyraena barracuda","native","Great barracuda","","commercial","minor commercial","Mauritania"
"29210","Perciformes","Sphyraenidae","Sphyraena guachancho","native","Guachanche barracuda","Ahnèche","commercial","commercial","Mauritania"
"2934","Perciformes","Sphyraenidae","Sphyraena sphyraena","native","European barracuda","","commercial","minor commercial","Mauritania"
"2942","Carcharhiniformes","Sphyrnidae","Sphyrna lewini","native","Scalloped hammerhead","","commercial","commercial","Mauritania"
"2952","Carcharhiniformes","Sphyrnidae","Sphyrna zygaena","native","Smooth hammerhead","Diarandoye","commercial","commercial","Mauritania"
"2962","Perciformes","Centracanthidae","Spicara alta","native","Bigeye picarel","","commercial","commercial","Mauritania"
"2972","Perciformes","Sparidae","Spondyliosoma cantharus","native","Black seabream","Chopa","commercial","commercial","Mauritania"
"2982","Squaliformes","Squalidae","Squalus blainville","native","Longnose spurdog","","commercial","commercial","Mauritania"
"2992","Squaliformes","Squalidae","Squalus megalops","questionable","Shortnose spurdog","","commercial","commercial","Mauritania"
"3001","Squaliformes","Squalidae","Squalus uyato","native","Little gulper shark","","commercial","minor commercial","Mauritania"
"30111","Squatiniformes","Squatinidae","Squatina aculeata","native","Sawback angelshark","","commercial","minor commercial","Mauritania"
"30210","Squatiniformes","Squatinidae","Squatina oculata","native","Smoothback angelshark","","commercial","minor commercial","Mauritania"
"3032","Perciformes","Stromateidae","Stromateus fiatola","native","Blue butterfish","Kheussow","minor commercial","minor commercial","Mauritania"
"3042","Beloniformes","Belonidae","Strongylura senegalensis","native","Senegal needlefish","","commercial","minor commercial","Mauritania"
"3052","Pleuronectiformes","Paralichthyidae","Syacium guineensis","native","","","commercial","minor commercial","Mauritania"
"3062","Pleuronectiformes","Cynoglossidae","Symphurus ligulatus","native","Elongate tonguesole","","commercial","commercial","Mauritania"
"3072","Pleuronectiformes","Cynoglossidae","Symphurus nigrescens","native","Tonguesole","","commercial","commercial","Mauritania"
"3082","Pleuronectiformes","Soleidae","Synaptura cadenati","native","Guinean sole","","commercial","commercial","Mauritania"
"3092","Pleuronectiformes","Soleidae","Synaptura lusitanica lusitanica","native","Portuguese sole","Linguado tigra","commercial","commercial","Mauritania"
"31011","Siluriformes","Mochokidae","Synodontis membranacea","native","","","commercial","commercial","Mauritania"
"31111","Siluriformes","Mochokidae","Synodontis schall","native","Wahrindi","","commercial","commercial","Mauritania"
"31211","Rajiformes","Dasyatidae","Taeniura grabata","native","Round stingray","","commercial","commercial","Mauritania"
"31311","Perciformes","Bramidae","Taractes rubescens","native","Pomfret","","commercial","commercial","Mauritania"
"31411","Perciformes","Bramidae","Taractichthys longipinnis","native","Big-scale pomfret","","commercial","minor commercial","Mauritania"
"31510","Tetraodontiformes","Tetraodontidae","Tetraodon lineatus","native","Globe fish","","commercial","of no interest","Mauritania"
