"","Order","Family","Species","Occurrence","FishBase name","Name","Use","Use elsewhere","Country"
"2","Perciformes","Lethrinidae","Lethrinus erythropterus","native","Longfin emperor","","minor commercial","minor commercial","Admiralty Islands"
"3","Perciformes","Lethrinidae","Lethrinus ornatus","native","Ornate emperor","","minor commercial","minor commercial","Admiralty Islands"
"4","Perciformes","Lethrinidae","Lethrinus semicinctus","native","Black blotch emperor","","minor commercial","minor commercial","Admiralty Islands"
"210","Scorpaeniformes","Anoplopomatidae","Anoplopoma fimbria","native","Sablefish","Black cod","commercial","highly commercial","Alaska (USA)"
"310","Pleuronectiformes","Pleuronectidae","Atheresthes stomias","native","Arrow-tooth flounder","Arrowtooth flounder","commercial","highly commercial","Alaska (USA)"
"46","Clupeiformes","Clupeidae","Clupea pallasii pallasii","native","Pacific herring","Iqalluarpak","commercial","highly commercial","Alaska (USA)"
"5","Salmoniformes","Salmonidae","Coregonus autumnalis","native","Arctic cisco","Arctic cisco","subsistence fisheries","commercial","Alaska (USA)"
"6","Salmoniformes","Salmonidae","Coregonus clupeaformis","native","Lake whitefish","Kalupiat","commercial","commercial","Alaska (USA)"
"7","Salmoniformes","Salmonidae","Coregonus laurettae","native","Bering cisco","Bering cisco","subsistence fisheries","subsistence fisheries","Alaska (USA)"
"8","Salmoniformes","Salmonidae","Coregonus nasus","native","Broad whitefish","Anaklik","minor commercial","commercial","Alaska (USA)"
"9","Salmoniformes","Salmonidae","Coregonus nelsonii","native","Alaska whitefish","Alaska whitefish","subsistence fisheries","subsistence fisheries","Alaska (USA)"
"10","Salmoniformes","Salmonidae","Coregonus pidschian","native","Humpback whitefish","Humpback whitefish","subsistence fisheries","commercial","Alaska (USA)"
"11","Salmoniformes","Salmonidae","Coregonus sardinella","native","Sardine cisco","Kalushak","subsistence fisheries","commercial","Alaska (USA)"
"12","Esociformes","Umbridae","Dallia pectoralis","native","Alaska blackfish","Alaska blackfish","subsistence fisheries","subsistence fisheries","Alaska (USA)"
"13","Gadiformes","Gadidae","Eleginus gracilis","native","Saffron cod","Saffron cod","subsistence fisheries","highly commercial","Alaska (USA)"
"14","Pleuronectiformes","Pleuronectidae","Eopsetta jordani","native","Petrale sole","Brill","commercial","commercial","Alaska (USA)"
"15","Gadiformes","Gadidae","Gadus macrocephalus","native","Pacific cod","Amutaq","commercial","highly commercial","Alaska (USA)"
"16","Pleuronectiformes","Pleuronectidae","Glyptocephalus zachirus","native","Rex sole","Long-finned sole","commercial","commercial","Alaska (USA)"
"17","Scorpaeniformes","Hexagrammidae","Hexagrammos decagrammus","native","Kelp greenling","Kelp greenling","commercial","minor commercial","Alaska (USA)"
"18","Pleuronectiformes","Pleuronectidae","Hippoglossoides elassodon","native","Flathead sole","Flathead sole","commercial","commercial","Alaska (USA)"
"19","Pleuronectiformes","Pleuronectidae","Hippoglossus stenolepis","native","Pacific halibut","Sagiq","commercial","highly commercial","Alaska (USA)"
"20","Pleuronectiformes","Pleuronectidae","Lepidopsetta bilineata","native","Rock sole","Rock sole","commercial","commercial","Alaska (USA)"
"21","Pleuronectiformes","Pleuronectidae","Limanda aspera","native","Yellowfin sole","Yellowfin sole","commercial","highly commercial","Alaska (USA)"
"22","Pleuronectiformes","Pleuronectidae","Liopsetta glacialis","native","Arctic flounder","Ikkahnalook","subsistence fisheries","minor commercial","Alaska (USA)"
"23","Gadiformes","Lotidae","Lota lota","native","Burbot","Nätarrnaq","minor commercial","commercial","Alaska (USA)"
"24","Gadiformes","Gadidae","Microgadus proximus","native","Pacific tomcod","Taaqatak","subsistence fisheries","minor commercial","Alaska (USA)"
"25","Scorpaeniformes","Cottidae","Myoxocephalus quadricornis","native","Fourhorn sculpin","Fourhorn sculpin","subsistence fisheries","subsistence fisheries","Alaska (USA)"
"26","Salmoniformes","Salmonidae","Oncorhynchus gorbuscha","native","Pink salmon","Amarturpiaq","commercial","highly commercial","Alaska (USA)"
"27","Salmoniformes","Salmonidae","Oncorhynchus keta","native","Chum salmon","Alngartuliq","commercial","highly commercial","Alaska (USA)"
"28","Salmoniformes","Salmonidae","Oncorhynchus kisutch","native","Coho salmon","Caayuaq","commercial","highly commercial","Alaska (USA)"
"29","Salmoniformes","Salmonidae","Oncorhynchus nerka","native","Sockeye salmon","Niklliq","commercial","highly commercial","Alaska (USA)"
"30","Salmoniformes","Salmonidae","Oncorhynchus tshawytscha","native","Chinook salmon","Iqallugpak","commercial","highly commercial","Alaska (USA)"
"31","Scorpaeniformes","Hexagrammidae","Ophiodon elongatus","native","Lingcod","Lingcod","commercial","commercial","Alaska (USA)"
"32","Osmeriformes","Osmeridae","Osmerus mordax dentex","native","Arctic rainbow smelt","Rainbow smelt","subsistence fisheries","commercial","Alaska (USA)"
"33","Pleuronectiformes","Pleuronectidae","Platichthys stellatus","native","Starry flounder","Ggagtuliq","commercial","commercial","Alaska (USA)"
"34","Scorpaeniformes","Hexagrammidae","Pleurogrammus monopterygius","native","Atka mackerel","Atka mackerel","commercial","commercial","Alaska (USA)"
"35","Salmoniformes","Salmonidae","Prosopium cylindraceum","native","Round whitefish","Round whitefish","subsistence fisheries","minor commercial","Alaska (USA)"
"36","Gasterosteiformes","Gasterosteidae","Pungitius pungitius","native","Ninespine stickleback","Natagnak","subsistence fisheries","subsistence fisheries","Alaska (USA)"
"37","Pleuronectiformes","Pleuronectidae","Reinhardtius hippoglossoides","native","Greenland halibut","Greenland turbot","commercial","highly commercial","Alaska (USA)"
"38","Scorpaeniformes","Sebastidae","Sebastes brevispinis","native","Silvergray rockfish","Rock salmon","commercial","commercial","Alaska (USA)"
"39","Scorpaeniformes","Sebastidae","Sebastes ciliatus","native","Dusky rockfish","Brown bomber","minor commercial","minor commercial","Alaska (USA)"
"40","Scorpaeniformes","Sebastidae","Sebastes entomelas","native","Widow rockfish","Brownie","minor commercial","commercial","Alaska (USA)"
"41","Scorpaeniformes","Sebastidae","Sebastes maliger","native","Quillback rockfish","Orange-spotted rockfish","commercial","commercial","Alaska (USA)"
"42","Scorpaeniformes","Sebastidae","Sebastes ruberrimus","native","Yelloweye rockfish","Ushmaq","commercial","commercial","Alaska (USA)"
"43","Salmoniformes","Salmonidae","Stenodus leucichthys","native","Sheefish","Si","commercial","minor commercial","Alaska (USA)"
"44","Gadiformes","Gadidae","Theragra chalcogramma","native","Alaska pollock","Rririliq","commercial","highly commercial","Alaska (USA)"
"45","Salmoniformes","Salmonidae","Thymallus arcticus","native","Arctic grayling","Sulukpauga","subsistence fisheries","minor commercial","Alaska (USA)"
"211","Salmoniformes","Salmonidae","Salmo ohridanus","native","","Belushka","commercial","commercial","Albania"
"212","Perciformes","Sparidae","Boops boops","native","Bogue","Bougga","minor commercial","highly commercial","Algeria"
"311","Clupeiformes","Engraulidae","Engraulis encrasicolus","native","European anchovy","Anchois","minor commercial","highly commercial","Algeria"
"47","Gadiformes","Merlucciidae","Merluccius merluccius","native","European hake","Merluzzo","minor commercial","highly commercial","Algeria"
"51","Perciformes","Scombridae","Sarda sarda","native","Atlantic bonito","Al rsela","minor commercial","highly commercial","Algeria"
"61","Clupeiformes","Clupeidae","Sardina pilchardus","native","European pilchard","Sardin'asali","highly commercial","highly commercial","Algeria"
"213","Mugiliformes","Mugilidae","Liza parsia","native","Goldspot mullet","","commercial","commercial","Andaman Island"
"312","Perciformes","Sillaginidae","Sillago aeolus","native","Oriental sillago","","minor commercial","minor commercial","Andaman Island"
"214","Perciformes","Trichiuridae","Aphanopus carbo","questionable","Black scabbardfish","","commercial","commercial","Angola"
"313","Perciformes","Sciaenidae","Argyrosomus coronus","native","Dusky kob","Pungo","minor commercial","minor commercial","Angola"
"48","Perciformes","Labridae","Bodianus speciosus","questionable","Blackbar hogfish","Bodião","commercial","commercial","Angola"
"52","Perciformes","Bramidae","Brama brama","native","Atlantic pomfret","","commercial","commercial","Angola"
"62","Perciformes","Labridae","Coris julis","native","Mediterranean rainbow wrasse","Bodião","commercial","minor commercial","Angola"
"71","Perciformes","Coryphaenidae","Coryphaena equiselis","native","Pompano dolphinfish","Doirado","commercial","minor commercial","Angola"
"81","Perciformes","Coryphaenidae","Coryphaena hippurus","native","Common dolphinfish","Sapatorra","commercial","highly commercial","Angola"
"91","Perciformes","Ephippidae","Ephippus goreensis","native","East Atlantic African spadefish","","commercial","minor commercial","Angola"
"101","Perciformes","Trichiuridae","Lepidopus caudatus","native","Silver scabbardfish","Peixe-espada","commercial","highly commercial","Angola"
"111","Carcharhiniformes","Leptochariidae","Leptocharias smithii","native","Barbeled houndshark","","minor commercial","minor commercial","Angola"
"121","Mugiliformes","Mugilidae","Liza falcipinnis","native","Sicklefin mullet","Muge","commercial","commercial","Angola"
"131","Mugiliformes","Mugilidae","Liza richardsonii","native","South African mullet","Tainha-fataça","commercial","commercial","Angola"
"141","Gadiformes","Merlucciidae","Merluccius polli","native","Benguela hake","Marmota","minor commercial","minor commercial","Angola"
"151","Mugiliformes","Mugilidae","Mugil cephalus","native","Flathead grey mullet","","commercial","highly commercial","Angola"
"161","Mugiliformes","Mugilidae","Mugil curema","native","White mullet","","commercial","commercial","Angola"
"171","Perciformes","Polynemidae","Polydactylus quadrifilis","native","Giant African threadfin","Barbudo","commercial","commercial","Angola"
"181","Clupeiformes","Clupeidae","Sardinella aurita","native","Round sardinella","Lombuda","commercial","highly commercial","Angola"
"191","Perciformes","Scaridae","Scarus hoefleri","native","Guinean parrotfish","Peixe-papagaio","commercial","commercial","Angola"
"201","Perciformes","Scombridae","Scomber japonicus","misidentification","Chub mackerel","Cavala","commercial","highly commercial","Angola"
"215","Perciformes","Scaridae","Sparisoma cretense","native","Parrotfish","Bodião","commercial","commercial","Angola"
"221","Perciformes","Centracanthidae","Spicara nigricauda","native","Blacktail picarel","Taco-taco","commercial","minor commercial","Angola"
"231","Rajiformes","Dasyatidae","Taeniura grabata","native","Round stingray","","highly commercial","commercial","Angola"
"241","Perciformes","Bramidae","Taractichthys longipinnis","native","Big-scale pomfret","","commercial","minor commercial","Angola"
"251","Perciformes","Carangidae","Trachurus trecae","native","Cunene horse mackerel","Chicharro","commercial","highly commercial","Angola"
"261","Perciformes","Sciaenidae","Umbrina ronchus","native","Fusca drum","","commercial","commercial","Angola"
"271","Perciformes","Labridae","Xyrichtys novacula","native","Pearly razorfish","Mordedor","commercial","minor commercial","Angola"
"216","Perciformes","Channichthyidae","Chaenodraco wilsoni","native","Spiny icefish","","commercial","minor commercial","Antarctic"
"314","Perciformes","Nototheniidae","Pleuragramma antarctica","native","Antarctic silverfish","Antarcticheskaya serebryenka","commercial","minor commercial","Antarctic"
"49","Perciformes","Nototheniidae","Trematomus eulepidotus","native","Blunt scalyhead","","commercial","commercial","Antarctic"
"217","Perciformes","Serranidae","Acanthistius brasilianus","native","Argentine seabass","Mero","commercial","commercial","Argentina"
"315","Perciformes","Haemulidae","Boridia grossidens","native","Borriqueta porgy","","commercial","commercial","Argentina"
"410","Chimaeriformes","Callorhinchidae","Callorhinchus callorynchus","native","Plownose chimaera","Músico","commercial","commercial","Argentina"
"53","Perciformes","Sciaenidae","Cynoscion striatus","native","Striped weakfish","Pescadilla","commercial","commercial","Argentina"
"63","Characiformes","Curimatidae","Cyphocharax saladensis","native","Rosy curimata","Sabalito","commercial","commercial","Argentina"
"72","Perciformes","Nototheniidae","Dissostichus eleginoides","native","Patagonian toothfish","Merluza negra","minor commercial","commercial","Argentina"
"82","Clupeiformes","Engraulidae","Engraulis anchoita","native","Argentine anchovy","Anchoíta","commercial","highly commercial","Argentina"
"92","Carcharhiniformes","Triakidae","Galeorhinus galeus","native","Tope shark","Tiburón vitaminico","commercial","highly commercial","Argentina"
"102","Siluriformes","Ariidae","Genidens genidens","native","Guri sea catfish","","commercial","commercial","Argentina"
"112","Ophidiiformes","Ophidiidae","Genypterus blacodes","native","Pink cusk-eel","Abadejo","highly commercial","highly commercial","Argentina"
"122","Characiformes","Erythrinidae","Hoplerythrinus unitaeniatus","native","Aimara","jejÃº","commercial","commercial","Argentina"
"132","Perciformes","Sciaenidae","Macrodon ancylodon","native","King weakfish","","minor commercial","minor commercial","Argentina"
"142","Gadiformes","Merlucciidae","Macruronus magellanicus","native","Patagonian grenadier","Argentino","commercial","highly commercial","Argentina"
"152","Perciformes","Istiophoridae","Makaira nigricans","native","Blue marlin","","minor commercial","commercial","Argentina"
"162","Gadiformes","Merlucciidae","Merluccius australis","native","Southern hake","Merluzón","minor commercial","highly commercial","Argentina"
"172","Gadiformes","Merlucciidae","Merluccius hubbsi","native","Argentine hake","Merluza común","highly commercial","highly commercial","Argentina"
"182","Gadiformes","Gadidae","Micromesistius australis","native","Southern blue whiting","Polaca","highly commercial","highly commercial","Argentina"
"192","Perciformes","Sciaenidae","Micropogonias furnieri","native","Whitemouth croaker","Corvina","commercial","highly commercial","Argentina"
"202","Perciformes","Sciaenidae","Micropogonias undulatus","native","Atlantic croaker","","commercial","commercial","Argentina"
"218","Carcharhiniformes","Triakidae","Mustelus schmitti","native","Narrownose smooth-hound","","highly commercial","highly commercial","Argentina"
"222","Perciformes","Cheilodactylidae","Nemadactylus bergi","native","Castaneta","Besugo blanco","commercial","commercial","Argentina"
"232","Atheriniformes","Atherinopsidae","Odontesthes bonariensis","native","Argentinian silverside","Pejerrey","commercial","minor commercial","Argentina"
"242","Perciformes","Sparidae","Pagrus pagrus","native","Red porgy","Besugo","commercial","commercial","Argentina"
"252","Pleuronectiformes","Paralichthyidae","Paralichthys patagonicus","native","Patagonian flounder","","commercial","commercial","Argentina"
"262","Perciformes","Percophidae","Percophis brasiliensis","native","Brazilian flathead","Congrio real","minor commercial","commercial","Argentina"
"272","Perciformes","Sciaenidae","Pogonias cromis","native","Black drum","","minor commercial","commercial","Argentina"
"281","Perciformes","Pomatomidae","Pomatomus saltatrix","native","Bluefish","Anchoa","minor commercial","highly commercial","Argentina"
"291","Perciformes","Pinguipedidae","Pseudopercis semifasciata","native","Argentinian sandperch","Chanchito","commercial","commercial","Argentina"
"301","Ophidiiformes","Ophidiidae","Raneya brasiliensis","native","Banded cusk eel","","minor commercial","minor commercial","Argentina"
"316","Perciformes","Scombridae","Sarda sarda","native","Atlantic bonito","Bonito","minor commercial","highly commercial","Argentina"
"321","Perciformes","Scombridae","Scomber japonicus","native","Chub mackerel","Magrú","minor commercial","highly commercial","Argentina"
"331","Perciformes","Gempylidae","Thyrsites atun","native","Snoek","Pez sierra","minor commercial","highly commercial","Argentina"
"341","Perciformes","Gempylidae","Thyrsitops lepidopoides","native","White snake mackerel","Caballa blanca","minor commercial","minor commercial","Argentina"
"351","Perciformes","Carangidae","Trachurus lathami","native","Rough scad","Surel","commercial","commercial","Argentina"
"361","Perciformes","Sciaenidae","Umbrina canosai","native","Argentine croaker","Pargo blanco","commercial","highly commercial","Argentina"
"371","Gadiformes","Phycidae","Urophycis brasiliensis","native","Brazilian codling","Brótola","commercial","commercial","Argentina"
"381","Perciformes","Xiphiidae","Xiphias gladius","native","Swordfish","Pez espada","minor commercial","commercial","Argentina"
"219","Cypriniformes","Cyprinidae","Cyprinus carpio carpio","native","Common carp","","minor commercial","highly commercial","Armenia"
"220","Perciformes","Carangidae","Caranx hippos","native","Crevalle jack","","commercial","commercial","Aruba"
"223","Perciformes","Serranidae","Epinephelus adscensionis","native","Rock hind","Rock cod","highly commercial","highly commercial","Ascension Island"
"224","Tetraodontiformes","Balistidae","Abalistes stellaris","native","Starry triggerfish","","minor commercial","commercial","Australia"
"317","Perciformes","Scombridae","Acanthocybium solandri","native","Wahoo","Wahoo","commercial","commercial","Australia"
"411","Perciformes","Sparidae","Acanthopagrus australis","endemic","Surf bream","Yellowfin bream","commercial","commercial","Australia"
"510","Perciformes","Sparidae","Acanthopagrus butcheri","endemic","Southern black bream","Black bream","commercial","commercial","Australia"
"610","Rajiformes","Myliobatidae","Aetobatus narinari","native","Spotted eagle ray","Walbuulbul","minor commercial","minor commercial","Australia"
"710","Mugiliformes","Mugilidae","Aldrichetta forsteri","native","Yellow-eye mullet","Yelloweye mullet","commercial","commercial","Australia"
"810","Perciformes","Carangidae","Alepes apercna","endemic","Smallmouth scad","Smallmouth scad","commercial","commercial","Australia"
"910","Zeiformes","Oreosomatidae","Allocyttus niger","native","Black oreo","Black oreodory","commercial","commercial","Australia"
"1010","Zeiformes","Oreosomatidae","Allocyttus verrucosus","native","Warty dory","Warty oreodory","minor commercial","minor commercial","Australia"
"1110","Pleuronectiformes","Pleuronectidae","Ammotretis rostratus","native","Longsnout flounder","Long-nosed flounder","commercial","commercial","Australia"
"1210","Anguilliformes","Anguillidae","Anguilla australis australis","native","Short-finned eel","Southern shortfin eel","commercial","commercial","Australia"
"1310","Anguilliformes","Anguillidae","Anguilla reinhardtii","native","Speckled longfin eel","Longfin eel","minor commercial","commercial","Australia"
"1410","Perciformes","Serranidae","Anyperodon leucogrammicus","native","Slender grouper","Whitelined rockcod","minor commercial","minor commercial","Australia"
"1510","Rajiformes","Rhinobatidae","Aptychotrema rostrata","endemic","Eastern shovelnose ray","Eragoni","commercial","commercial","Australia"
"1610","Perciformes","Sciaenidae","Argyrosomus japonicus","native","Japanese meagre","Mulloway","commercial","commercial","Australia"
"1710","Perciformes","Arripidae","Arripis georgianus","endemic","Ruff","Australian herring","commercial","commercial","Australia"
"1810","Perciformes","Arripidae","Arripis trutta","native","Australian salmon","Eastern Australian salmon","commercial","commercial","Australia"
"1910","Perciformes","Arripidae","Arripis truttacea","endemic","Western Australian salmon","Western Australian salmon","commercial","commercial","Australia"
"2010","Carcharhiniformes","Scyliorhinidae","Atelomycterus macleayi","endemic","Australian marbled catshark","Marbled catshark","minor commercial","minor commercial","Australia"
"2110","Atheriniformes","Atherinidae","Atherinomorus vaigiensis","native","Ogilby's hardyhead","Common hardyhead","minor commercial","minor commercial","Australia"
"225","Perciformes","Terapontidae","Bidyanus bidyanus","endemic","Silver perch","Silver perch","commercial","commercial","Australia"
"233","Perciformes","Labridae","Bodianus flavipinnis","native","Yellowfin pigfish","Yellowfin pigfish","minor commercial","minor commercial","Australia"
"243","Orectolobiformes","Brachaeluridae","Brachaelurus colcloughi","endemic","Bluegray carpetshark","Colclough's shark","minor commercial","minor commercial","Australia"
"253","Pleuronectiformes","Soleidae","Brachirus niger","native","Black sole","Black sole","minor commercial","minor commercial","Australia"
"263","Perciformes","Caesionidae","Caesio cuning","native","Redbelly yellowtail fusilier","Yellowtail fusilier","minor commercial","commercial","Australia"
"273","Chimaeriformes","Callorhinchidae","Callorhinchus milii","native","Ghost shark","Elephant fish","commercial","commercial","Australia"
"282","Perciformes","Carangidae","Carangoides fulvoguttatus","native","Yellowspotted trevally","Turrum","minor commercial","commercial","Australia"
"292","Perciformes","Carangidae","Carangoides oblongus","native","Coachwhip trevally","Coachwhip trevally","minor commercial","commercial","Australia"
"302","Perciformes","Carangidae","Caranx bucculentus","native","Bluespotted trevally","Bluespotted trevally","minor commercial","minor commercial","Australia"
"318","Perciformes","Carangidae","Caranx ignobilis","native","Giant trevally","Giant trevally","minor commercial","commercial","Australia"
"322","Cypriniformes","Cyprinidae","Carassius auratus auratus","introduced","Goldfish","Goldfish","commercial","commercial","Australia"
"332","Carcharhiniformes","Carcharhinidae","Carcharhinus amblyrhynchoides","native","Graceful shark","Graceful shark","minor commercial","minor commercial","Australia"
"342","Carcharhiniformes","Carcharhinidae","Carcharhinus amblyrhynchos","native","Blacktail reef shark","Guliman","minor commercial","minor commercial","Australia"
"352","Carcharhiniformes","Carcharhinidae","Carcharhinus amboinensis","native","Pigeye shark","Pigeye shark","minor commercial","minor commercial","Australia"
"362","Carcharhiniformes","Carcharhinidae","Carcharhinus brachyurus","native","Copper shark","Bronze whaler","minor commercial","minor commercial","Australia"
"372","Carcharhiniformes","Carcharhinidae","Carcharhinus brevipinna","native","Spinner shark","Long-nose grey shark","minor commercial","commercial","Australia"
"382","Carcharhiniformes","Carcharhinidae","Carcharhinus cautus","native","Nervous shark","Nervous shark","minor commercial","minor commercial","Australia"
"391","Carcharhiniformes","Carcharhinidae","Carcharhinus dussumieri","native","Whitecheek shark","Whitecheek shark","minor commercial","commercial","Australia"
"401","Carcharhiniformes","Carcharhinidae","Carcharhinus fitzroyensis","native","Creek whaler","Creek whaler","minor commercial","minor commercial","Australia"
"412","Carcharhiniformes","Carcharhinidae","Carcharhinus limbatus","native","Blacktip shark","Common blacktip shark","minor commercial","commercial","Australia"
"421","Carcharhiniformes","Carcharhinidae","Carcharhinus macloti","native","Hardnose shark","Hardnose shark","minor commercial","minor commercial","Australia"
"431","Carcharhiniformes","Carcharhinidae","Carcharhinus melanopterus","native","Blacktip reef shark","Blacktip reef shark","subsistence fisheries","commercial","Australia"
"441","Carcharhiniformes","Carcharhinidae","Carcharhinus obscurus","native","Dusky shark","Dusky whaler","commercial","commercial","Australia"
"451","Carcharhiniformes","Carcharhinidae","Carcharhinus plumbeus","native","Sandbar shark","Sandbar shark","minor commercial","commercial","Australia"
"461","Carcharhiniformes","Carcharhinidae","Carcharhinus sorrah","native","Spot-tail shark","Spot-tail shark","minor commercial","minor commercial","Australia"
"471","Carcharhiniformes","Carcharhinidae","Carcharhinus tilstoni","endemic","Australian blacktip shark","Australian blacktip shark","minor commercial","minor commercial","Australia"
"481","Beryciformes","Berycidae","Centroberyx affinis","native","Redfish","Redfish","commercial","commercial","Australia"
"491","Perciformes","Serranidae","Cephalopholis argus","native","Peacock hind","Peacock rockcod","minor commercial","commercial","Australia"
"50","Perciformes","Serranidae","Cephalopholis cyanostigma","native","Bluespotted hind","Bluespotted rockcod","minor commercial","minor commercial","Australia"
"511","Perciformes","Labridae","Cheilinus fasciatus","native","Redbreasted wrasse","Redbreast maori wrasse","minor commercial","minor commercial","Australia"
"521","Perciformes","Labridae","Cheilinus trilobatus","native","Tripletail wrasse","Tripletail Maori wrasse","minor commercial","minor commercial","Australia"
"531","Scorpaeniformes","Triglidae","Chelidonichthys kumu","native","Bluefin gurnard","Red gurnard","subsistence fisheries","commercial","Australia"
"54","Perciformes","Chironemidae","Chironemus georgianus","endemic","Tasseled kelpfish","Western kelpfish","commercial","commercial","Australia"
"55","Perciformes","Labridae","Choerodon schoenleinii","native","Blackspot tuskfish","Blackspot tuskfish","minor commercial","commercial","Australia"
"56","Perciformes","Sparidae","Chrysophrys auratus","native","Silver seabream","Snapper","commercial","commercial","Australia"
"57","Siluriformes","Plotosidae","Cnidoglanis macrocephalus","endemic","Cobbler","Estuary cobbler","minor commercial","minor commercial","Australia"
"58","Gadiformes","Macrouridae","Coelorinchus innotabilis","native","Notable whiptail","Notable whiptail","minor commercial","minor commercial","Australia"
"59","Perciformes","Serranidae","Cromileptes altivelis","native","Humpback grouper","Barramundi cod","minor commercial","commercial","Australia"
"60","Cypriniformes","Cyprinidae","Cyprinus carpio carpio","introduced","Common carp","European carp","commercial","highly commercial","Australia"
"611","Squaliformes","Centrophoridae","Deania calcea","native","Birdbeak dogfish","Brier shark","minor commercial","minor commercial","Australia"
"621","Perciformes","Haemulidae","Diagramma pictum","native","Painted sweetlips","Painted sweetlips","minor commercial","commercial","Australia"
"631","Rajiformes","Rajidae","Dipturus cerva","endemic","White-spotted skate","Whitespotted skate","minor commercial","minor commercial","Australia"
"64","Perciformes","Polynemidae","Eleutheronema tetradactylum","native","Fourfinger threadfin","Blue threadfin","commercial","highly commercial","Australia"
"65","Clupeiformes","Engraulidae","Engraulis australis","native","Australian anchovy","Australian anchovy","commercial","minor commercial","Australia"
"66","Perciformes","Serranidae","Epinephelus areolatus","native","Areolate grouper","Yellowspotted rockcod","commercial","commercial","Australia"
"67","Perciformes","Serranidae","Epinephelus coioides","native","Orange-spotted grouper","Goldspotted rockcod","commercial","commercial","Australia"
"68","Perciformes","Serranidae","Epinephelus fasciatus","native","Blacktip grouper","Blacktip rockcod","minor commercial","commercial","Australia"
"69","Perciformes","Serranidae","Epinephelus malabaricus","native","Malabar grouper","Blackspotted rockcod","minor commercial","highly commercial","Australia"
"70","Perciformes","Serranidae","Epinephelus merra","native","Honeycomb grouper","Birdwire rockcod","minor commercial","commercial","Australia"
"711","Perciformes","Serranidae","Epinephelus multinotatus","native","White-blotched grouper","Rankin cod","commercial","commercial","Australia"
"721","Perciformes","Serranidae","Epinephelus quoyanus","native","Longfin grouper","Longfin rockcod","minor commercial","commercial","Australia"
"73","Perciformes","Scombridae","Euthynnus affinis","native","Kawakawa","Bonito","commercial","highly commercial","Australia"
"74","Carcharhiniformes","Scyliorhinidae","Figaro boardmani","endemic","Australian sawtail catshark","Sawtail catshark","minor commercial","minor commercial","Australia"
"75","Carcharhiniformes","Triakidae","Furgaleus macki","endemic","Whiskery shark","Whiskery shark","commercial","commercial","Australia"
"76","Carcharhiniformes","Triakidae","Galeorhinus galeus","native","Tope shark","School shark","commercial","highly commercial","Australia"
"77","Ophidiiformes","Ophidiidae","Genypterus blacodes","native","Pink cusk-eel","Pink ling","commercial","highly commercial","Australia"
"78","Perciformes","Kyphosidae","Girella tricuspidata","native","Parore","Luderick","commercial","commercial","Australia"
"79","Perciformes","Kyphosidae","Girella zebra","native","Zebra fish","Zebrafish","commercial","commercial","Australia"
"80","Perciformes","Glaucosomatidae","Glaucosoma hebraicum","endemic","Westralian jewfish","West Australian dhufish","commercial","commercial","Australia"
"811","Perciformes","Glaucosomatidae","Glaucosoma magnificum","native","Threadfin pearl-perch","Threadfin pearl perch","minor commercial","minor commercial","Australia"
"821","Perciformes","Carangidae","Gnathanodon speciosus","native","Golden trevally","Golden trevally","minor commercial","minor commercial","Australia"
"83","Perciformes","Scombridae","Grammatorcynus bicarinatus","native","Shark mackerel","Shark mackerel","commercial","commercial","Australia"
"84","Perciformes","Lethrinidae","Gymnocranius audleyi","native","Collared large-eye bream","Collar seabream","minor commercial","minor commercial","Australia"
"85","Perciformes","Odacidae","Haletta semifasciata","native","Blue weed whiting","Blue weed-whiting","minor commercial","minor commercial","Australia"
"86","Scorpaeniformes","Sebastidae","Helicolenus percoides","native","Red gurnard perch","Reef ocean perch","commercial","commercial","Australia"
"87","Carcharhiniformes","Hemigaleidae","Hemipristis elongata","native","Snaggletooth shark","Fossil shark","minor commercial","commercial","Australia"
"88","Orectolobiformes","Hemiscylliidae","Hemiscyllium trispeculare","native","Speckled carpetshark","Speckled carpetshark","minor commercial","minor commercial","Australia"
"89","Heterodontiformes","Heterodontidae","Heterodontus galeatus","endemic","Crested bullhead shark","Crested horn shark","subsistence fisheries","minor commercial","Australia"
"90","Beryciformes","Trachichthyidae","Hoplostethus atlanticus","native","Orange roughy","Orange roughy","commercial","highly commercial","Australia"
"911","Chimaeriformes","Chimaeridae","Hydrolagus ogilbyi","endemic","","Ogilbys ghostshark","minor commercial","minor commercial","Australia"
"921","Clupeiformes","Clupeidae","Hyperlophus vittatus","endemic","Sandy sprat","Sandy sprat","subsistence fisheries","subsistence fisheries","Australia"
"93","Perciformes","Centrolophidae","Hyperoglyphe antarctica","native","Bluenose warehou","Deepsea trevally","commercial","commercial","Australia"
"94","Carcharhiniformes","Triakidae","Hypogaleus hyugaensis","native","Blacktip tope","Pencil shark","minor commercial","minor commercial","Australia"
"95","Perciformes","Serranidae","Hypoplectrodes nigroruber","endemic","Black-banded sea perch","Banded seaperch","commercial","commercial","Australia"
"96","Beloniformes","Hemiramphidae","Hyporhamphus australis","endemic","Eastern sea garfish","Eastern sea garfish","commercial","commercial","Australia"
"97","Beloniformes","Hemiramphidae","Hyporhamphus melanochir","endemic","Southern sea garfish","Southern garfish","commercial","commercial","Australia"
"98","Perciformes","Istiophoridae","Istiompax indica","native","Black marlin","Pacific black marlin","commercial","commercial","Australia"
"99","Lamniformes","Lamnidae","Isurus oxyrinchus","native","Shortfin mako","Blue pointer","minor commercial","minor commercial","Australia"
