id,group,order,family,genus,binomial,english,domesticated species,notes,Source
45,Birds,GALLIFORMES,CRACIDAE,Aburria,Aburria aburri,Wattled Guan,,,McGowan 2010
46,Birds,GALLIFORMES,CRACIDAE,Chamaepetes,Chamaepetes goudotii,Sickle-winged Guan,,,McGowan 2010
47,Birds,GALLIFORMES,CRACIDAE,Chamaepetes,Chamaepetes unicolor,Black Guan,,,McGowan 2010
48,Birds,GALLIFORMES,CRACIDAE,Crax,Crax alberti,"Blue-billed Curassow, Blue-knobbed Curassow",,,McGowan 2010
49,Birds,GALLIFORMES,CRACIDAE,Crax,Crax alector,Black Curassow,,,McGowan 2010
50,Birds,GALLIFORMES,CRACIDAE,Crax,Crax blumenbachii,"Mutum, Red-billed Curassow, Red-knobbed Curassow",,,McGowan 2010
51,Birds,GALLIFORMES,CRACIDAE,Crax,Crax daubentoni,Yellow-knobbed Curassow,,,McGowan 2010
52,Birds,GALLIFORMES,CRACIDAE,Crax,Crax fasciolata,Bare-faced Curassow,,,McGowan 2010
53,Birds,GALLIFORMES,CRACIDAE,Crax,Crax globulosa,Wattled Curassow,,,McGowan 2010
54,Birds,GALLIFORMES,CRACIDAE,Crax,Crax rubra,Great Curassow,,,McGowan 2010
55,Birds,GALLIFORMES,CRACIDAE,Mitu,Mitu mitu,Alagoas Curassow,,,McGowan 2010
56,Birds,GALLIFORMES,CRACIDAE,Mitu,Mitu salvini,"Salvin's Curassow, Salvin's Currasow",,,McGowan 2010
57,Birds,GALLIFORMES,CRACIDAE,Mitu,Mitu tomentosum,Crestless Curassow,,,McGowan 2010
58,Birds,GALLIFORMES,CRACIDAE,Mitu,Mitu tuberosum,Razor-billed Curassow,,,McGowan 2010
59,Birds,GALLIFORMES,CRACIDAE,Nothocrax,Nothocrax urumutum,Nocturnal Curassow,,,McGowan 2010
60,Birds,GALLIFORMES,CRACIDAE,Oreophasis,Oreophasis derbianus,Horned Guan,,,McGowan 2010
