id,group,order,family,genus,binomial,english,domesticated species,notes,Source
197,Birds,Galliformes,Phasianidae,Centrocercus,Centrocercus minimus,"Gunnison Grouse, Gunnison Sage-grouse, Gunnison Sage Grouse, Gunnison Sage-Grouse",,,McGowan 2010
198,Birds,Galliformes,Phasianidae,Centrocercus,Centrocercus urophasianus,"Greater Sage-grouse, Greater Sage Grouse, Greater Sage-Grouse, Sage Grouse",,,McGowan 2010
199,Birds,Galliformes,Phasianidae,Chrysolophus,Chrysolophus amherstiae,Lady Amherst's Pheasant,,,McGowan 2010
200,Birds,Galliformes,Phasianidae,Chrysolophus,Chrysolophus pictus,Golden Pheasant,,,McGowan 2010
201,Birds,Galliformes,Phasianidae,Coturnix,Coturnix chinensis,"Blue Quail, King Quail",,,McGowan 2010
202,Birds,Galliformes,Phasianidae,Coturnix,Coturnix coromandelica,Rain Quail,,,McGowan 2010
203,Birds,Galliformes,Phasianidae,Coturnix,Coturnix coturnix,"Common Quail, Quail",,,McGowan 2010
204,Birds,Galliformes,Phasianidae,Coturnix,Coturnix delegorguei,Harlequin Quail,,,McGowan 2010
205,Birds,Galliformes,Phasianidae,Coturnix,Coturnix japonica,Japanese Quail,,,McGowan 2010
206,Birds,Galliformes,Phasianidae,Coturnix,Coturnix novaezelandiae,New Zealand Quail,,,McGowan 2010
207,Birds,Galliformes,Phasianidae,Coturnix,Coturnix pectoralis,Stubble Quail,,,McGowan 2010
208,Birds,Galliformes,Phasianidae,Coturnix,Coturnix ypsilophora,Brown Quail,,,McGowan 2010
209,Birds,Galliformes,Phasianidae,Crossoptilon,Crossoptilon auritum,"Blue Eared-pheasant, Blue Eared Pheasant, Blue Eared-Pheasant",,,McGowan 2010
210,Birds,Galliformes,Phasianidae,Crossoptilon,Crossoptilon crossoptilon,"White Eared-pheasant, White Eared Pheasant, White Eared-Pheasant",,,McGowan 2010
211,Birds,Galliformes,Phasianidae,Crossoptilon,Crossoptilon harmani,"Tibetan Eared-pheasant, Tibetan Eared Pheasant, Tibetan Eared-Pheasant",,,McGowan 2010
212,Birds,Galliformes,Phasianidae,Crossoptilon,Crossoptilon mantchuricum,"Brown Eared-pheasant, Brown Eared Pheasant, Brown Eared-Pheasant, Manchurian Eared-pheasant",,,McGowan 2010
213,Birds,Galliformes,Phasianidae,Dendragapus,Dendragapus canadensis,Spruce Grouse,,,McGowan 2010
214,Birds,Galliformes,Phasianidae,Dendragapus,Dendragapus falcipennis,Siberian Grouse,,,McGowan 2010
215,Birds,Galliformes,Phasianidae,Dendragapus,Dendragapus fuliginosus,Sooty Grouse,,,McGowan 2010
216,Birds,Galliformes,Phasianidae,Dendragapus,Dendragapus obscurus,Dusky Grouse,,,McGowan 2010
217,Birds,Galliformes,Phasianidae,Francolinus,Francolinus adspersus,Red-billed Francolin,,,McGowan 2010
218,Birds,Galliformes,Phasianidae,Francolinus,Francolinus afer,"Red-necked Francolin, Red-necked Spurfowl",,,McGowan 2010
219,Birds,Galliformes,Phasianidae,Francolinus,Francolinus africanus,"Grey-winged Francolin, Grey-wing Francolin",,,McGowan 2010
220,Birds,Galliformes,Phasianidae,Francolinus,Francolinus ahantensis,Ahanta Francolin,,,McGowan 2010
221,Birds,Galliformes,Phasianidae,Francolinus,Francolinus albogularis,White-throated Francolin,,,McGowan 2010
222,Birds,Galliformes,Phasianidae,Francolinus,Francolinus bicalcaratus,Double-spurred Francolin,,,McGowan 2010
223,Birds,Galliformes,Phasianidae,Francolinus,Francolinus camerunensis,"Cameroon Francolin, Mount Cameroon Francolin",,,McGowan 2010
224,Birds,Galliformes,Phasianidae,Francolinus,Francolinus capensis,Cape Francolin,,,McGowan 2010
225,Birds,Galliformes,Phasianidae,Francolinus,Francolinus castaneicollis,Chestnut-naped Francolin,,,McGowan 2010
226,Birds,Galliformes,Phasianidae,Francolinus,Francolinus clappertoni,Clapperton's Francolin,,,McGowan 2010
227,Birds,Galliformes,Phasianidae,Francolinus,Francolinus coqui,Coqui Francolin,,,McGowan 2010
228,Birds,Galliformes,Phasianidae,Francolinus,Francolinus erckelii,Erckel's Francolin,,,McGowan 2010
229,Birds,Galliformes,Phasianidae,Francolinus,Francolinus finschi,Finsch's Francolin,,,McGowan 2010
230,Birds,Galliformes,Phasianidae,Francolinus,Francolinus francolinus,Black Francolin,,,McGowan 2010
231,Birds,Galliformes,Phasianidae,Francolinus,Francolinus griseostriatus,Grey-striped Francolin,,,McGowan 2010
232,Birds,Galliformes,Phasianidae,Francolinus,Francolinus gularis,Swamp Francolin,,,McGowan 2010
233,Birds,Galliformes,Phasianidae,Francolinus,Francolinus hartlaubi,Hartlaub's Francolin,,,McGowan 2010
234,Birds,Galliformes,Phasianidae,Francolinus,Francolinus harwoodi,Harwood's Francolin,,,McGowan 2010
235,Birds,Galliformes,Phasianidae,Francolinus,Francolinus hildebrandti,Hildebrandt's Francolin,,,McGowan 2010
236,Birds,Galliformes,Phasianidae,Francolinus,Francolinus icterorhynchus,Heuglin's Francolin,,,McGowan 2010
237,Birds,Galliformes,Phasianidae,Francolinus,Francolinus jacksoni,Jackson's Francolin,,,McGowan 2010
238,Birds,Galliformes,Phasianidae,Francolinus,Francolinus lathami,Forest Francolin,,,McGowan 2010
239,Birds,Galliformes,Phasianidae,Francolinus,Francolinus leucoscepus,Yellow-necked Spurfowl,,,McGowan 2010
240,Birds,Galliformes,Phasianidae,Francolinus,Francolinus levaillantii,Red-winged Francolin,,,McGowan 2010
241,Birds,Galliformes,Phasianidae,Francolinus,Francolinus levaillantoides,"Orangeriver Francolin, Orange River Francolin",,,McGowan 2010
242,Birds,Galliformes,Phasianidae,Francolinus,Francolinus nahani,Nahan's Francolin,,,McGowan 2010
243,Birds,Galliformes,Phasianidae,Francolinus,Francolinus natalensis,Natal Francolin,,,McGowan 2010
244,Birds,Galliformes,Phasianidae,Francolinus,Francolinus nobilis,Handsome Francolin,,,McGowan 2010
245,Birds,Galliformes,Phasianidae,Francolinus,Francolinus ochropectus,"Djibouti Francolin, Ochre-breasted Francolin, Pale-bellied Francolin, Tadjoura Francolin",,,McGowan 2010
246,Birds,Galliformes,Phasianidae,Francolinus,Francolinus pictus,Painted Francolin,,,McGowan 2010
247,Birds,Galliformes,Phasianidae,Francolinus,Francolinus pintadeanus,Chinese Francolin,,,McGowan 2010
248,Birds,Galliformes,Phasianidae,Francolinus,Francolinus pondicerianus,"Gray Francolin, Grey Francolin",,,McGowan 2010
249,Birds,Galliformes,Phasianidae,Francolinus,Francolinus psilolaemus,Moorland Francolin,,,McGowan 2010
250,Birds,Galliformes,Phasianidae,Francolinus,Francolinus rufopictus,Grey-breasted Spurfowl,,,McGowan 2010
251,Birds,Galliformes,Phasianidae,Francolinus,Francolinus schlegelii,Schlegel's Francolin,,,McGowan 2010
252,Birds,Galliformes,Phasianidae,Francolinus,Francolinus sephaena,Crested Francolin,,,McGowan 2010
253,Birds,Galliformes,Phasianidae,Francolinus,Francolinus shelleyi,Shelley's Francolin,,,McGowan 2010
254,Birds,Galliformes,Phasianidae,Francolinus,Francolinus squamatus,Scaly Francolin,,,McGowan 2010
255,Birds,Galliformes,Phasianidae,Francolinus,Francolinus streptophorus,Ring-necked Francolin,,,McGowan 2010
256,Birds,Galliformes,Phasianidae,Francolinus,Francolinus swainsonii,"Swainson's Francolin, Swainson's Spurfowl",,,McGowan 2010
257,Birds,Galliformes,Phasianidae,Francolinus,Francolinus swierstrai,Swierstra's Francolin,,,McGowan 2010
258,Birds,Galliformes,Phasianidae,Galloperdix,Galloperdix bicalcarata,"Ceylon Spurfowl, Sri Lanka Spurfowl",,,McGowan 2010
259,Birds,Galliformes,Phasianidae,Galloperdix,Galloperdix lunulata,Painted Spurfowl,,,McGowan 2010
260,Birds,Galliformes,Phasianidae,Galloperdix,Galloperdix spadicea,Red Spurfowl,,,McGowan 2010
261,Birds,Galliformes,Phasianidae,Haematortyx,Haematortyx sanguiniceps,Crimson-headed Partridge,,,McGowan 2010
262,Birds,Galliformes,Phasianidae,Ithaginis,Ithaginis cruentus,Blood Pheasant,,,McGowan 2010
263,Birds,Galliformes,Phasianidae,Lagopus,Lagopus lagopus,"Willow Grouse and Red Grouse, Willow Ptarmigan",,,McGowan 2010
264,Birds,Galliformes,Phasianidae,Lagopus,Lagopus leucura,White-tailed Ptarmigan,,,McGowan 2010
265,Birds,Galliformes,Phasianidae,Lagopus,Lagopus muta,"Ptarmigan, Rock Ptarmigan",,,McGowan 2010
266,Birds,Galliformes,Phasianidae,Lerwa,Lerwa lerwa,Snow Partridge,,,McGowan 2010
267,Birds,Galliformes,Phasianidae,Lophophorus,Lophophorus impejanus,Himalayan Monal,,,McGowan 2010
268,Birds,Galliformes,Phasianidae,Lophophorus,Lophophorus lhuysii,"Chinese Impeyan, Chinese Monal",,,McGowan 2010
269,Birds,Galliformes,Phasianidae,Lophophorus,Lophophorus sclateri,"Crestless Monal, Sclater's Monal",,,McGowan 2010
270,Birds,Galliformes,Phasianidae,Lophura,Lophura bulweri,"Bulwer's Pheasant, Wattled Pheasant, White-tailed Wattled Pheasant",,,McGowan 2010
271,Birds,Galliformes,Phasianidae,Lophura,Lophura diardi,"Diard's Fireback, Siamese Fireback",,,McGowan 2010
272,Birds,Galliformes,Phasianidae,Lophura,Lophura edwardsi,Edwards's Pheasant,,,McGowan 2010
273,Birds,Galliformes,Phasianidae,Lophura,Lophura erythrophthalma,"Crestless Fireback, Rufous-tailed Pheasant",,,McGowan 2010
274,Birds,Galliformes,Phasianidae,Lophura,Lophura hatinhensis,"Vietnamese Pheasant, Vietnam Fireback, Vo Quy's Pheasant",,,McGowan 2010
275,Birds,Galliformes,Phasianidae,Lophura,Lophura hoogerwerfi,"Aceh Pheasant, Hoogerwerf's Pheasant, Sumatran Pheasant",,,McGowan 2010
276,Birds,Galliformes,Phasianidae,Lophura,Lophura ignita,"Crested Fireback, Vieillot's Fireback",,,McGowan 2010
277,Birds,Galliformes,Phasianidae,Lophura,Lophura inornata,Salvadori's Pheasant,,,McGowan 2010
278,Birds,Galliformes,Phasianidae,Lophura,Lophura leucomelanos,Kalij Pheasant,,,McGowan 2010
279,Birds,Galliformes,Phasianidae,Lophura,Lophura nycthemera,Silver Pheasant,,,McGowan 2010
280,Birds,Galliformes,Phasianidae,Lophura,Lophura swinhoii,Swinhoe's Pheasant,,,McGowan 2010
281,Birds,Galliformes,Phasianidae,Margaroperdix,Margaroperdix madagascariensis,Madagascar Partridge,,,McGowan 2010
282,Birds,Galliformes,Phasianidae,Melanoperdix,Melanoperdix niger,"Black Partridge, Black Wood-partridge",,,McGowan 2010
283,Birds,Galliformes,Phasianidae,Meleagris,Meleagris gallopavo,Wild turkey,,,FAO World Watch List 
284,Birds,Galliformes,Phasianidae,Meleagris,Meleagris ocellata,Ocellated Turkey,,,McGowan 2010
285,Birds,Galliformes,Phasianidae,Numida,Numida meleagris,GUINEA FOWL,,"Incl. subsp. N.m. maleagris, miirata and galeata",FAO World Watch List 
286,Birds,Galliformes,Phasianidae,Ophrysia,Ophrysia superciliosa,Himalayan Quail,,,McGowan 2010
287,Birds,Galliformes,Phasianidae,Pavo,Pavo cristatus,"Common Peafowl, Indian Peafowl, Peafowl",,,McGowan 2010
288,Birds,Galliformes,Phasianidae,Pavo,Pavo muticus,"Green-necked Peafowl, Green Peafowl",,,McGowan 2010
289,Birds,Galliformes,Phasianidae,Perdicula,Perdicula argoondah,"Rock Bush-quail, Rock Bush Quail, Rock Bush-Quail",,,McGowan 2010
290,Birds,Galliformes,Phasianidae,Perdicula,Perdicula asiatica,"Jungle Bush-quail, Jungle Bush Quail, Jungle Bush-Quail",,,McGowan 2010
291,Birds,Galliformes,Phasianidae,Perdicula,Perdicula erythrorhyncha,"Painted Bush-quail, Painted Bush Quail, Painted Bush-Quail",,,McGowan 2010
292,Birds,Galliformes,Phasianidae,Perdicula,Perdicula manipurensis,"Manipur Bush-quail, Manipur Bush Quail, Manipur Bush-Quail",,,McGowan 2010
293,Birds,Galliformes,Phasianidae,Perdix,Perdix dauurica,Daurian Partridge,,,McGowan 2010
294,Birds,Galliformes,Phasianidae,Perdix,Perdix hodgsoniae,Tibetan Partridge,,,McGowan 2010
295,Birds,Galliformes,Phasianidae,Perdix,Perdix perdix,"Gray Partridge, Grey Partridge, Partridge",,,McGowan 2010
296,Birds,Galliformes,Phasianidae,Phasianus,Phasianus colchicus,"Common Pheasant, Pheasant, Ring-necked Pheasant",,,McGowan 2010
297,Birds,Galliformes,Phasianidae,Polyplectron,Polyplectron bicalcaratum,"Grey Peacock-pheasant, Grey Peacock-Pheasant",,,McGowan 2010
298,Birds,Galliformes,Phasianidae,Polyplectron,Polyplectron chalcurum,"Bronze-tailed Peacock-pheasant, Bronze-tailed Peacock-Pheasant",,,McGowan 2010
299,Birds,Galliformes,Phasianidae,Polyplectron,Polyplectron germaini,"Germain's Peacock-pheasant, Germain's Peacock-Pheasant",,,McGowan 2010
300,Birds,Galliformes,Phasianidae,Polyplectron,Polyplectron inopinatum,"Mountain Peacock-pheasant, Mountain Peacock-Pheasant, Rothschild's Peacock-pheasant",,,McGowan 2010
301,Birds,Galliformes,Phasianidae,Polyplectron,Polyplectron katsumatae,Hainan Peacock-pheasant,,,McGowan 2010
302,Birds,Galliformes,Phasianidae,Polyplectron,Polyplectron malacense,"Crested Peacock-pheasant, Malayan Peacock-pheasant, Malayan Peacock-Pheasant",,,McGowan 2010
303,Birds,Galliformes,Phasianidae,Polyplectron,Polyplectron napoleonis,"Napoleon's Peacock-pheasant, Palawan Peacock-pheasant, Palawan Peacock-Pheasant",,,McGowan 2010
304,Birds,Galliformes,Phasianidae,Polyplectron,Polyplectron schleiermacheri,"Bornean Peacock-pheasant, Bornean Peacock-Pheasant",,,McGowan 2010
305,Birds,Galliformes,Phasianidae,Ptilopachus,Ptilopachus petrosus,Stone Partridge,,,McGowan 2010
306,Birds,Galliformes,Phasianidae,Pucrasia,Pucrasia macrolopha,Koklass Pheasant,,,McGowan 2010
307,Birds,Galliformes,Phasianidae,Rheinardia,Rheinardia ocellata,"Crested Argus, Ocellated Pheasant",,,McGowan 2010
308,Birds,Galliformes,Phasianidae,Rhizothera,Rhizothera longirostris,Long-billed Partridge,,,McGowan 2010
309,Birds,Galliformes,Phasianidae,Rollulus,Rollulus rouloul,Crested Partridge,,,McGowan 2010
310,Birds,Galliformes,Phasianidae,Syrmaticus,Syrmaticus ellioti,"Chinese Barred-backed Pheasant, Elliot's Pheasant",,,McGowan 2010
311,Birds,Galliformes,Phasianidae,Syrmaticus,Syrmaticus humiae,"Hume's Bar-tailed Pheasant, Hume's Pheasant, Mrs. Hume's Pheasant",,,McGowan 2010
312,Birds,Galliformes,Phasianidae,Syrmaticus,Syrmaticus mikado,Mikado Pheasant,,,McGowan 2010
313,Birds,Galliformes,Phasianidae,Syrmaticus,Syrmaticus reevesii,Reeves's Pheasant,,,McGowan 2010
314,Birds,Galliformes,Phasianidae,Syrmaticus,Syrmaticus soemmerringii,Copper Pheasant,,,McGowan 2010
315,Birds,Galliformes,Phasianidae,Tetrao,Tetrao mlokosiewiczi,"Caucasian Black Grouse, Caucasian Grouse",,,McGowan 2010
316,Birds,Galliformes,Phasianidae,Tetrao,Tetrao parvirostris,Black-billed Capercaillie,,,McGowan 2010
317,Birds,Galliformes,Phasianidae,Tetrao,Tetrao tetrix,Black Grouse,,,McGowan 2010
318,Birds,Galliformes,Phasianidae,Tetrao,Tetrao urogallus,"Capercaillie, Western Capercaillie",,,McGowan 2010
319,Birds,Galliformes,Phasianidae,Tetraogallus,Tetraogallus altaicus,Altai Snowcock,,,McGowan 2010
320,Birds,Galliformes,Phasianidae,Tetraogallus,Tetraogallus caspius,Caspian Snowcock,,,McGowan 2010
321,Birds,Galliformes,Phasianidae,Tetraogallus,Tetraogallus caucasicus,Caucasian Snowcock,,,McGowan 2010
322,Birds,Galliformes,Phasianidae,Tetraogallus,Tetraogallus himalayensis,Himalayan Snowcock,,,McGowan 2010
323,Birds,Galliformes,Phasianidae,Tetraogallus,Tetraogallus tibetanus,Tibetan Snowcock,,,McGowan 2010
324,Birds,Galliformes,Phasianidae,Tetraophasis,Tetraophasis obscurus,"Chestnut-throated Partridge, Verreaux's Monal-Partridge",,,McGowan 2010
325,Birds,Galliformes,Phasianidae,Tetraophasis,Tetraophasis szechenyii,"Buff-throated Partridge, Szechenyi's Monal-Partridge",,,McGowan 2010
326,Birds,Galliformes,Phasianidae,Tragopan,Tragopan blythii,"Blyth's Tragopan, Grey-bellied Tragopan",,,McGowan 2010
327,Birds,Galliformes,Phasianidae,Tragopan,Tragopan caboti,"Cabot's Tragopan, Yellow-billed Tragopan",,,McGowan 2010
328,Birds,Galliformes,Phasianidae,Tragopan,Tragopan melanocephalus,"Black-headed Tragopan, Western Horned-pheasant, Western Tragopan",,,McGowan 2010
329,Birds,Galliformes,Phasianidae,Tragopan,Tragopan satyra,"Crimson Horned-pheasant, Indian Tragopan, Satyr Tragopan",,,McGowan 2010
330,Birds,Galliformes,Phasianidae,Tragopan,Tragopan temminckii,Temminck's Tragopan,,,McGowan 2010
331,Birds,Galliformes,Phasianidae,Tympanuchus,Tympanuchus cupido,"Greater Prairie-chicken, Greater Prairie Chicken, Greater Prairie-Chicken",,,McGowan 2010
332,Birds,Galliformes,Phasianidae,Tympanuchus,Tympanuchus pallidicinctus,"Lesser Prairie-chicken, Lesser Prairie Chicken, Lesser Prairie-Chicken",,,McGowan 2010
333,Birds,Galliformes,Phasianidae,Tympanuchus,Tympanuchus phasianellus,Sharp-tailed Grouse,,,McGowan 2010
334,Birds,Galliformes,Phasianidae,Xenoperdix,Xenoperdix udzungwensis,"Udzungwa Forest-partridge, Udzungwa Forest Partridge, Uzungwa Francolin",,,McGowan 2010
335,Birds,STRUTHIONIFORMES,CASUARIIDAE,Casuarius,Casuarius bennetti,Dwarf Cassowary,,,FAO World Watch List 
336,Birds,STRUTHIONIFORMES,CASUARIIDAE,Casuarius,Casuarius casuarius,Southern Cassowary,,,FAO World Watch List 
337,Birds,STRUTHIONIFORMES,CASUARIIDAE,Casuarius,Casuarius unappendiculatus,Northern Cassowary,,,FAO World Watch List 
338,Birds,STRUTHIONIFORMES,RHEIDAE,Rhea,Rhea americana,"Rhea, Greater rhea",,,FAO World Watch List 
339,Birds,Struthioniformes,Struthionidae,Struthio,Struthio camelus,Common ostrich,,,FAO World Watch List 
340,Camelids,Artiodactyla,Camelidae,Camelus,Camelus ferus,Wild camel / Bactrian camel,,,FAO World Watch List 
341,Camelids,Artiodactyla,Camelidae,Lama,Lama guanicoe,Guanaco,"Lama glama, L. pacas",,FAO World Watch List 
342,Camelids,Artiodactyla,Camelidae,Vicugna,Vicugna vicugna,Vicuna,,,FAO World Watch List 
343,"Cattle, bison and buffaloes",Artiodactyla,Bovidae,Bison,Bison bison,American bison/European bison,,,FAO World Watch List 
344,"Cattle, bison and buffaloes",Artiodactyla,Bovidae,Bos,Bos frontalis,Gaur,Bos frontalis,,FAO World Watch List 
345,"Cattle, bison and buffaloes",Artiodactyla,Bovidae,Bos,Bos grunniens,Yak,Bos grunniens,,FAO World Watch List 
346,"Cattle, bison and buffaloes",Artiodactyla,Bovidae,Bos,Bos javanicus,Banteng,Bos javanicus,,FAO World Watch List 
347,"Cattle, bison and buffaloes",Artiodactyla,Bovidae,Bos,Bos primigenius,Auroch,"Bos taurus, Bos indicus",,FAO World Watch List 
348,"Cattle, bison and buffaloes",Artiodactyla,Bovidae,Bos,Bos sauveli,Kouprey,,,FAO World Watch List 
349,"Cattle, bison and buffaloes",Artiodactyla,Bovidae,Bubalus,Bubalus bubalis,Wild Asian buffalo,Bubalus bubalis,,FAO World Watch List 
350,"Cattle, bison and buffaloes",Artiodactyla,Bovidae,Bubalus,Bubalus depressicornis,Lowland Anoa,,,FAO World Watch List 
351,"Cattle, bison and buffaloes",Artiodactyla,Bovidae,Bubalus,Bubalus mindorensis,Tamaraw,,,FAO World Watch List 
352,"Cattle, bison and buffaloes",Artiodactyla,Bovidae,Bubalus,Bubalus quarlesi,Mountain Anoa,,,FAO World Watch List 
353,"Cattle, bison and buffaloes",Artiodactyla,Bovidae,Syncerus,Syncerus caffer,African buffalo,,,FAO World Watch List 
354,"Cattle, bison and buffaloes",CETARTIODACTYLA,Bovidae,Bison,Bison bonasus,,,,McGowan 2010
355,"Cattle, bison and buffaloes",CETARTIODACTYLA,Bovidae,Bos,Bos gaurus,,,,McGowan 2010
356,"Cattle, bison and buffaloes",CETARTIODACTYLA,Bovidae,Bos,Bos mutus,,,,McGowan 2010
357,"Cattle, bison and buffaloes",CETARTIODACTYLA,Bovidae,Bubalus,Bubalus arnee,,,,McGowan 2010
358,Civet cats,Carnivora,Viverridae,Viverra,Viverra civetta,African civet,,,FAO World Watch List 
359,Civet cats,Carnivora,Viverridae,Viverra,Viverricula indica,Small Indian civet,,,FAO World Watch List 
360,Crocodillians,CROCODYLIA,ALLIGATORIDAE,Alligator,Alligator mississippiensis,American alligator,,,FAO World Watch List 
361,Crocodillians,CROCODYLIA,Crocodylidae,Crocodylus,Crocodylus niloticus,Nile crocodile,,,FAO World Watch List 
362,Crocodillians,CROCODYLIA,Crocodylidae,Crocodylus,Crocodylus novaeguineae,New Guinea Crocodile,,,FAO World Watch List 
363,Crocodillians,CROCODYLIA,Crocodylidae,Crocodylus,Crocodylus porosus,Salt-water crocodile,,,FAO World Watch List 
364,Crocodillians,CROCODYLIA,Crocodylidae,Crocodylus,Crocodylus siamensis,Siamese Crocodile,,,FAO World Watch List 
365,Deer,Artiodactyla,Cervidae,Alces,Alces alces,Elk,,,FAO World Watch List 
366,Deer,Artiodactyla,Cervidae,Alces,Alces americanus,Moose,,,FAO World Watch List 
367,Deer,Artiodactyla,Cervidae,Axis,Axis axis,Chital,,,FAO World Watch List 
368,Deer,Artiodactyla,Cervidae,Axis,Axis porcinus,Hog deer,,,FAO World Watch List 
369,Deer,Artiodactyla,Cervidae,Cervus,Cervus elaphus,Red deer,,,FAO World Watch List 
370,Deer,Artiodactyla,Cervidae,Cervus,Cervus nippon,Sika deer,,,FAO World Watch List 
371,Deer,Artiodactyla,Cervidae,Dama,Dama dama,Fallow deer,,,FAO World Watch List 
372,Deer,Artiodactyla,Cervidae,Elaphurus,Elaphurus davidianus,Pere Davids Deer,,,FAO World Watch List 
373,Deer,Artiodactyla,Cervidae,Moschus,Moschus moschiferus,Musk deer,,,FAO World Watch List 
374,Deer,Artiodactyla,Cervidae,Rangifer,Rangifer tarandus,Reindeer / Caribou,,,FAO World Watch List 
375,Deer,Artiodactyla,Cervidae,Rusa,Rusa timorensis,Javan rusa,,syn. Cervus timorensis,FAO World Watch List 
376,Deer,Artiodactyla,Cervidae,Rusa,Rusa unicolor,Sambar deer,,syn. Cervus unicolor,FAO World Watch List 
377,Elephants,Proboscidae,Elephantidae,Elephas,Elephas maximus,Asian elephant,,,FAO World Watch List 
378,Elephants,Proboscidae,Elephantidae,Loxodonta,Loxodonta africana,African elephant,,,FAO World Watch List 
379,Horses and asses,Perissodactyla,Equidae,Equus,Equus africanus,African wild ass,,,FAO World Watch List 
380,Horses and asses,Perissodactyla,Equidae,Equus,Equus hemionus,Asian wild ass,,"Includes subsp E. h. onager (Onager), E. h. kulan (Kulan), E.h. luteus (Dziggatai), E.h. khur (Indian wild ass)",FAO World Watch List 
381,Horses and asses,Perissodactyla,Equidae,Equus,Equus kiang,Kiang,,,FAO World Watch List 
382,Horses and asses,Perissodactyla,Equidae,Equus,Equus przewalskii,PRZEWALSKIÕS WILD HORSE,E. caballus,,FAO World Watch List 
383,Musk ox,Artiodactyla,Bovidae,Ovibos,Ovibos moschatus,Musk ox,,,FAO World Watch List 
384,Pigs,CETARTIODACTYLA,SUIDAE,Babyrousa,Babyrousa babyrussa,,,,McGowan 2010
385,Pigs,CETARTIODACTYLA,SUIDAE,Babyrousa,Babyrousa celebensis,,,,McGowan 2010
386,Pigs,CETARTIODACTYLA,SUIDAE,Babyrousa,Babyrousa togeanensis,,,,McGowan 2010
387,Pigs,CETARTIODACTYLA,SUIDAE,Hylochoerus,Hylochoerus meinertzhageni,,,,McGowan 2010
388,Pigs,CETARTIODACTYLA,SUIDAE,Phacochoerus,Phacochoerus aethiopicus,,,,McGowan 2010
389,Pigs,CETARTIODACTYLA,SUIDAE,Phacochoerus,Phacochoerus africanus,,,,McGowan 2010
390,Pigs,CETARTIODACTYLA,SUIDAE,Porcula,Porcula salvania,,,,McGowan 2010
391,Pigs,CETARTIODACTYLA,SUIDAE,Potamochoerus,Potamochoerus larvatus,,,,McGowan 2010
392,Pigs,CETARTIODACTYLA,SUIDAE,Potamochoerus,Potamochoerus porcus,,,,McGowan 2010
393,Pigs,CETARTIODACTYLA,SUIDAE,Sus,Sus ahoenobarbus,,,,McGowan 2010
394,Pigs,CETARTIODACTYLA,SUIDAE,Sus,Sus bucculentus,,,,McGowan 2010
395,Rabbits,Lagomorpha,Leporidae,Oryctolagus,Oryctolagus cuniculus,European rabbit,,,FAO World Watch List 
396,Reptiles,Sauria,Iguanidae,Ctenosaura,Ctenosaura alfredschmidti,Campeche Spiny-tailed Iguana,,,FAO World Watch List - all Ctenosaura spp.
397,Reptiles,Sauria,Iguanidae,Ctenosaura,Ctenosaura bakeri,"Utila Spiny-tailed Iguana, Baker's Spinytail Iguana, Swamper",,,FAO World Watch List - all Ctenosaura spp.
398,Reptiles,Sauria,Iguanidae,Ctenosaura,Ctenosaura clarki,"Balsas Spiny-tailed Iguana, Balsas Armed Lizard, Michoacï¿½n Dwarf Spiny-tailed Iguana",,,FAO World Watch List - all Ctenosaura spp.
399,Reptiles,Sauria,Iguanidae,Ctenosaura,Ctenosaura defensor,Yucatï¿½n Spiny-tailed Iguana,,,FAO World Watch List - all Ctenosaura spp.
400,Reptiles,Sauria,Iguanidae,Ctenosaura,Ctenosaura flavidorsalis,Yellow-backed Spiny-tailed Iguana,,,FAO World Watch List - all Ctenosaura spp.
401,Reptiles,Sauria,Iguanidae,Ctenosaura,Ctenosaura melanosterna,"Black-chested Spiny-tailed Iguana, Aguï¿½n Valley Iguana, Cayos Cochinos Iguana, Rio Aguï¿½n Iguana",,,FAO World Watch List - all Ctenosaura spp.
402,Reptiles,Sauria,Iguanidae,Ctenosaura,Ctenosaura oaxacana,Oaxaca Spiny-tailed Iguana,,,FAO World Watch List - all Ctenosaura spp.
403,Reptiles,Sauria,Iguanidae,Ctenosaura,Ctenosaura oedirhina,"Roatï¿½n Spiny-tailed Iguana, De Queiroz's Spiny-tailed Iguana, Wishywilly",,,FAO World Watch List - all Ctenosaura spp.
404,Reptiles,Sauria,Iguanidae,Ctenosaura,Ctenosaura palearis,"Motagua Spiny-tailed Iguana, Guatemalan Black Iguana, Guatemalan Spiny-tailed Iguana",,,FAO World Watch List - all Ctenosaura spp.
405,Reptiles,Sauria,Iguanidae,Ctenosaura,Ctenosaura praeocularis,Southern Honduran Spiny-tailed Iguana,,,FAO World Watch List - all Ctenosaura spp.
406,Reptiles,Sauria,Iguanidae,Ctenosaura,Ctenosaura quinquecariniata,"Five-keeled Spiny-tailed Iguana, Oaxacan Spiny-tailed Iguana, Oaxacan Spinytail Iguana",,,FAO World Watch List - all Ctenosaura spp.
407,Reptiles,Sauria,Iguanidae,Ctenosaura,Ctenosaura similis,"Common Spiny-tailed Iguana, Black Iguana, Black Spiny-tailed Iguana",,,FAO World Watch List - all Ctenosaura spp.
408,Reptiles,Sauria,Iguanidae,Iguana,Iguana iguana,Green iguana,,,FAO World Watch List 
409,Rodents,Rodentia,Agoutidae,Agouti,Agouti paca,Paca,,,FAO World Watch List 
410,Rodents,Rodentia,Capromyidae,Capromys,Capromys pilorides,Hutia,,,FAO World Watch List 
