"ID","Genus Hybrid","Genus","Species Hybrid","Species","Infraspecific Rank","Infraspecific Epithet","Cultivar","No. Locations","Crop Wild Relative","Red List","Red List 1997","CITES Appendix","CITES Last Assessed","Medicinal Distribution","Medicinal Threatened","Medicinal Cites Listed","Medicinal PartUsed","Medicinal Symptoms Treated","Medicinal Reference"
"17835","","Abelmoschus","","esculentus","","","","27","Yes","","","","","Africa, India, Asia, Latin America and the Caribbean","","","leaf, fruit, root","It has been used as a plasma replacement or blood volume expander. Leaves are sometimes used as a basis for poultices, as an emollient, sudorific or antiscorbutic and to treat dysuria, venereal diseases, pneumonia, bronchitis, pulmonary tuberculosis, boils, occular infections","34, 12, 39"
"36375","","Abelmoschus","","moschatus","","","","13","Yes","","","","","India","","","seed, fruit","Diuretic, aphrodisiac, emollient, antipyretic","12"
"36402","","Abies","","pindrow","","","","38","No","Lower Risk: Least Concern","","","","Pakistan","","","","","26"
"20661","","Abroma","","augusta","","","","10","No","","","","","India","","","root, bark","","10, 12"
"6883","","Abrus","","precatorius","","","","44","No","","","","","South America, India, Africa","","","seed","sore throat, cough","31, 10, 36, 12"
"144760","","Acacia","","arabica","","","","5","No","","","","","India","","","leaf, bark, pod, gum","diarrhoea, teeth disorders, eczema, tonsillitis, conjunctivitis, epiphora, leucorrhoea, used in toothpastes and gargles","12"
"70420","","Acacia","","caffra","","","","15","No","","","","","South Africa, Swaziland, southern Botswana, southern Mozambique, India","","","leaves, bark","abdominal pains, colds, fever, blood purifier","34"
"61903","","Acacia","","catechu","","","","21","No","","","","","India","","","bark, ext, wood","diarrhoea, sore throat, skin diseases","12"
"70419","","Acacia","","leucophloea","","","","3","No","","","","","India","","","bark","astringent","12"
"63","","Acacia","","mearnsii","","","","19","No","","","","","South Eastern Australia, Kenya, South Africa, Zimbabwe, Brazil, India","","","bark","astringent, diarrhoea","34"
"126508","","Acacia","","mellifera","","","","5","No","","","","","Africa","x","","liquid of boiled bark","stomach problems, sterility, pneumonia, malaria, and syphilis","29, 35, 23"
"144777","","Acacia","","nigrescens","","","","9","No","","","","","Tanzania, Botswana, Namibia, South Africa","","","roots","convulsions, aphrodisiac","34"
"13780","","Acacia","","nilotica","","","","30","No","","","","","Tropical Africa, Western Asia, India, Jamiaca, Australia, South Africa","x","","bark, root, bruised leaves","cough, tuberculosis, astringent, diarrhoea, dysentery, leprosy, ulcers","25, 2, 34"
"70424","","Acacia","","pennata","","","","6","No","","","","","India","","","leaf","venereal diseases, pneumonia, bronchitis, pulmonary tuberculosis","12"
"84","","Acacia","","robusta","","","","7","No","","","","","Ethiopia, Somalia, Namibia, South Africa","","","root powder, roots, stem, leaves","root powder is applied to swellings, a root decoction is used to treat dysmenorrhoea, female sterility and schistosomiasis, a stem bark decoction to treat gonorrhea, abdominal pains and skin ailments, and leaves to treat snakebites.","34"
"36490","","Acacia","","senegal","","","","13","No","","","","","Tropical Africa, Oman, Pakistan, India","","","gum arabic found in bark","gum arabic used as a suspending or emulsifying agent and in tablet manufacture","7, 34, 12, 36"
"87","","Acacia","","seyal","","","","18","No","","","","","Africa","x","","gum, bark decoction","aphrodisiac, dysentry, leprosy, emollient, astringent, rheumatism","29, 3"
"94","","Acacia","","tortilis","","","","17","No","","","","","South Africa, Kenya","x","","","","25"
"101","","Acacia","","xanthophloea","","","","19","No","","","","","Somalia, Swaziland, northern South Africa","","","bark","bark decoction is used in traditional medicine to treat indigestion and sickle cell anaemia. powdered bark used as an emetic to treat malaria, and also against eye complaints.","34"
"270972","","Acalypha","","fruticosa","","","","1","No","","","","","Africa","x","","decoction of leaves","dysentry","29, 41"
"70428","","Acalypha","","indica","","","","6","No","","","","","India","","","plant","intestinal worms, constipation, skin diseases, rheumatism, respiratory diseases, earache","12"
"36522","","Acampe","","praemorsa","","","","7","No","","","II","2005-01-12","India, Sri Lanka","x","Appendix II","root","rheumatism","33, 13"
"36577","","Acanthopanax","","gracilistylus","","","","7","No","","","","","China","","","","","22"
"5055","","Acanthophoenix","","rubra","","","","10","No","Critically Endangered","Vulnerable","","","R","","","roots","diurectic","34"
"36934","","Acanthosicyos","","horridus","","","","2","No","","","","","South west coast of Africa","","","roots, seeds","nausea, stomach-ache, veneral disease, kidney problems, chest pains, to heal wounds, skin moisturiser","34"
"192919","","Acanthosicyos","","naudinianus","","","","5","No","","","","","Zambia, Angola, Namibia, Botswana, Zimbabwe, Mozambique and South Africa.","","","roots","arrow poison","34"
"16209","","Acanthus","","ilicifolius","","","","11","No","","","","","India, Sri Lanka, Bangladesh, Pakistan","","","roots, leaves, shoots","rheumatism, asthma, paralysis, snakebite","10"
"36652","","Aceras","","anthropophorum","","","","9","No","","","II","2005-01-12","England, Eurasia, North Africa","","Appendix II","","","13"
"77298","","Achillea","","clypeolata","","","","25","No","","","","","Europe","","","","","21"
"181701","","Achillea","","collina","","","","11","No","","","","","Europe","","","","","21"
"113","","Achillea","","millefolium","","","","151","No","","","","","Europe, US, India, North Pakistan","","","plant, leaf","fevers, stomach disorders, piles, women's diseases, wounds, high blood pressure","21, 9, 12, 17, 26"
"115","","Achyranthes","","aspera","","","","22","No","","","","","India","","","plant","asthma, coughs, cholera, renal dropsy, skin diseases, eye diseases","12, 11"
"142398","","Achyranthes","","bidentata","","","","9","No","","","","","China","","","","","42, 22"
"126563","","Acmella","","oleracea","","","","12","No","","","","","Africa, Indian Ocean Islands","","","flower heads, roots and leaves","toothache, throat and gum infections, dysentyr, rheumatism, to enhance the immune system, prophylactice and curative against malaria","34"
"142416","","Aconitum","","carmichaeli","","","","4","No","","","","","China","","","","","22"
"36785","","Aconitum","","chasmanthum","","","","4","No","","","","","North Pakistan","","","","","26"
"36752","","Aconitum","","ferox","","","","17","No","","Indeterminate","","","India","x","","","","24"
"36775","","Aconitum","","heterophyllum","","","","5","No","","","","","India, North Pakistan","x","","roots","dried roots are powdered and taken orally to cure stomach ache, fever and digestive disorders","40, 24, 20, 12, 26, 30"
"132090","","Aconitum","","kusnezoffii","","","","10","No","","","","","China","","","","","42"
"122","","Acorus","","calamus","","","","116","No","","","","","Europe, India, US","x","","rhizome","bronchitis, schizophrenia, obesity, fever, rheumatism","21, 30, 24, 10, 12, 4, 17"
"123","","Acorus","","gramineus","","","","45","No","","","","","China","","","","","42, 22"
"252217","","Actaea","","podocarpa","","","","12","No","","","","","US","x","","","","17"
"162638","","Actaea","","racemosa","","","","37","No","","","","","US","x","","","","17"
"126","","Adansonia","","digitata","","","","103","No","","","","","Most of mainland tropical Africa, Madagascar and Indian Ocean Islands, India, Barbados","x","","bark gum, bark, roots, fruit pulp, seeds, leaves","fever, wound cleaning, toothache, antidote to Strophanthus poisoning, malaria, astringent, asthma, kidney and bladder diseases, diarrhoea and inflammations","7, 34, 36, 25, 29"
"17237","","Adenia","","fruticosa","","","","19","No","","","","","South Africa","x","","","","37"
"36872","","Adenia","","gummifera","","","","4","No","","","","","South Africa","x","","","","37"
"193013","","Adenia","","olaboensis","","","","10","No","","","","","Africa","x","","","","29"
"254434","","Adenium","","boehmianum","var.","swazicum","","1","No","","","","","Angloa, Namibia","","","root sap","arrow poison","34"
"6006","","Adenium","","multiflorum","","","","11","No","","","","","Malawi, southeastern Zambia, Zimbabwe, Mozambique, Swaziland and north-eastern South Africa.","","","stem latex","arrow poison, veterinary medicine","34"
"5859","","Adenium","","obesum","","","","86","No","","","","","from Senegal to Ethiopia and from Somalia to Tanzania, Egypt, Saudi Arabia, Oman and Yemen","","","sap, roots, bark","venereal diseases, skin diseases, rhinitis, abortifacient","34"
"63562","","Adenium","","oleifolium","","","","11","No","","","","","Namibia, Botswana, South Africa","x","","tuber and latex","arrow poison, salve for scorpian and snakebite, root sap used for fever and cholic","34, 37"
"62521","","Adenium","","swazicum","","","","22","No","","","","","South Africa","x","","","","37"
"61047","","Adhatoda","","beddomei","","","","1","No","","Endangered","","","India","x","","","","14, 24"
"5785","","Adhatoda","","vasica","","","","13","No","","","","","India","","","leaf, roots, flower","bronchitis, asthma, tuberculosis, cough, Intestinal worms","12"
"138","","Adiantum","","capillus-veneris","","","","84","No","","","","","South America, US","x","","","","31, 17"
"37015","","Adiantum","","pedatum","var.","aleuticum","","13","No","","","","","US","x","","","","17"
"37028","","Adonis","","vernalis","","","","71","No","","","II","2000-07-19","Europe","x","","","","38, 21"
"62674","","Aegle","","marmelos","","","","14","No","","","","","India","x","","fruit, bark, root, leaf","constipation, diarrhoea, peptic ulcer, ear diseases, respiratory disorders,","24, 12, 10"
"37174","","Aerangis","","mystacidii","","","","13","No","","","II","2005-01-12","","x","Appendix II","","","13"
"16435","","Aesculus","","hippocastanum","","","","144","No","","","","","Europe, India","","","fruit","","21, 12"
"37283","","Aesculus","","indica","","","","41","No","","","","","India","","","fruits","fruits are used for preparing a nutritious recipe called 'Sik'. It is a pre- and post- pregnancy food for women. It is also used for curing excessive bleeding and pain during menstuation","40"
"37313","","Aframomum","","melegueta","","","","20","No","","","","","Africa","","","","","7"
"11409","","Agastache","","rugosa","","","","48","No","","","","","China","","","","","42, 22"
"158039","","Agathosma","","crenulata","","","","2","No","","","","","South Africa","x","","","","37"
"183","","Agave","","americana","","","","120","No","","","","","India","","","root, leaf, gum","hair falling, anaemia","12"
"37455","","Ageratum","","conyzoides","","","","24","No","","","","","Africa, South America","x","","","","25, 31, 36"
"244","","Agrimonia","","eupatoria","","","","83","No","","","","","Europe","","","","","21"
"223527","","Agrimonia","","gryposepala","","","","15","No","","","","","US","x","","","","17"
"63201","","Agrimonia","","pilosa","","","","26","No","","","","","China","","","","","42"
"37528","","Ailanthus","","altissima","var.","sutchuenensis","","4","No","","","","","China, Africa","","","bark, leaves","toothache, stomach aches, pulmonary infections, sores, colds, snakebites","42, 22, 34"
"98853","","Ailanthus","","excelsa","","","","1","No","","","","","India","","","root, bark","analgesic, anti-spasmodic, expectorant","12"
"14657","","Alberta","","magna","","","","10","No","Lower Risk: Conservation Dependent","Rare","","","South Africa","x","","","","37"
"7321","","Albizia","","adianthifolia","","","","7","No","","","","","South Africa","x","","","","37"
"98910","","Albizia","","coriaria","","","","4","No","","","","","South Africa","x","","","","25"
"15707","","Albizia","","julibrissin","var.","rosea","","16","No","","","","","China","","","","","42"
"61443","","Albizia","","suluensis","","","","1","No","Vulnerable","Vulnerable","","","South Africa","x","","","","37"
"252","","Alchemilla","","vulgaris","","","","34","No","","","","","Europe","","","","","21"
"191457","","Alepidea","","amatymbica","","","","0","No","","","","","Africa","x","","","","29"
"167193","","Alepidea","","peduncularis","","","","2","No","","","","","DR Congo, Sudan, Ethiopia, South Africa","","","roots","cough and fever","34"
"37639","","Aletris","","farinosa","","","","16","No","","","","","US","x","","","","17"
"255","","Aleurites","","moluccana","","","","31","No","","","","","India","","","nuts, seed , oil","piles, worm infestations","12"
"12544","","Alisma","","plantago-aquatica","","","","66","No","","","","","China","","","","","22"
"258","","Allamanda","","cathartica","","","","57","No","","","","","India","","","bark, leaf","colic pain, acute abdominal pain","12"
"259","","Allium","","cepa","","","","56","Yes","","","","","Africa, Central Asia, India, Europe, US,Latin America and the Caribbean","","","bulb","antibiotic and for boils, wounds, stings, coughs, bronchitis, asthma and headache, earache, sun-stroke, hypertension","34, 21, 39"
"17583","","Allium","","fistulosum","","","","57","Yes","","","","","China, Japan, Siberia, Indonesia, Europe, Sierra Leone, Ghana, Cameroon, Congo, DR Congo, Sudan, Ken","","","all","used to improve functioning of internal organs in traditional chinese medicine, improve eyesight, enhance recovery from common colds, headaches, wounds","34"
"11192","","Allium","","sativum","","","","67","Yes","","","","","Africa and Madagascar, Central Asia, Europe, Latin America","","","all","strongly antibiotic, reputed to lower blood pressure and cholesterol, hypertensive, carminative, antiseptic, diaphoretic, expectorant, fever, respiratory diseases","34, 36, 10, 12"
"37772","","Allium","","tricoccum","","","","35","Yes","","","","","US","x","","","","17 2014"
"83729","","Allium","","ursinum","","","","71","Yes","","","","","Europe","","","","","21"
"63082","","Aloe","","albida","","","","5","No","","","I","1975-07-01","South Africa, Swaziland","x","Appendix I","","","37, 13"
"278","","Aloe","","arborescens","","","","116","No","","","II","1995-02-16","South Africa, Malawi, Botswana, Zimbabwe, Mozambique, Europe, Japan, central Asia, China","","Appendix II","leaves, gel","burns and skin wounds","34, 13"
"279","","Aloe","","aristata","","","","73","No","","","II","1995-02-16","South Africa","x","Appendix II","","","13"
"4935","","Aloe","","barbadensis","","","","25","No","","","II","1995-02-16","India","","Appendix II? Is aloe vera?","","","10, 13"
"38230","","Aloe","","bowiea","","","","12","No","","Endangered","II","1995-02-16","South Africa","x","Appendix II","","","37, 13"
"38116","","Aloe","","buettneri","","","","5","No","","","II","1995-02-16","West Africa","","Appendix II","leaves, leaf sap, roots, bulbs, leaf ash","skin complaints, insect bites, malaria, liver problems, stomach aches, cough, veneral diseases, infertility, cancer, veterinary uses.","34, 13"
"298","","Aloe","","chabaudii","","","","30","No","","","II","1995-02-16","Democratic Republic of the Congo , Malawi , Mozambique , South Africa , Swaziland , United Republic","x","Appendix II","","","13"
"19100","","Aloe","","commixta","","","","5","No","","","II","1995-02-16","South Africa","x","Appendix II","","","37, 13"
"305","","Aloe","","cooperi","","","","18","No","","","II","1995-02-16","South Africa, Swaziland","x","Appendix II","","","13"
"316","","Aloe","","divaricata","","","","36","No","","","II","1995-02-16","Ghana , Mali , Nigeria , Togo","","Appendix II","leaves, leaf sap","purgative, improve bone fracture healing","34, 13"
"328","","Aloe","","ferox","","","","103","No","","","II","1995-02-16","Africa","","Appendix II","leaf exudate","purgative, skin afflictions, hydrating and skin protecting, veterinary medicine, herbal teas, insect repellent","7, 36, 34, 37"
"331","","Aloe","","flexilifolia","","","","10","No","Critically Endangered","Indeterminate","II","1995-02-16","Usmbara Mountains of north east Tanzania","","Appendix II","sap from roots and leaves","","34, 13"
"343","","Aloe","","hereroensis","","","","22","No","","","II","1995-02-16","Angola , Namibia , South Africa","x","Appendix II","","","13"
"15393","","Aloe","","lateritia","var.","kitaliensis","","3","No","","","II","1995-02-16","East Africa","","Appendix II","","colds, malaria, hepatitis, stomach-ache, anaemia","34, 13"
"60754","","Aloe","","linearifolia","","","","5","No","","","II","1995-02-16","South Africa","x","Appendix II","","","13"
"184454","","Aloe","","lomatophylloides","","","","4","No","","","II","1995-02-16","Rodrigues","","Appendix II","","muscle pain, to increase menstrual flow","34, 13"
"361","","Aloe","","marlothii","","","","71","No","","","II","1995-02-16","South Africa","x","Appendix II","","","13"
"192838","","Aloe","","modesta","","","","3","No","","","II","1995-02-16","South Africa","x","Appendix II","","","37, 13"
"63696","","Aloe","","monotropa","","","","5","No","","Rare","II","1995-02-16","South Africa","x","Appendix II","","","37, 13"
"375","","Aloe","","perryi","","","","12","No","Near Threatened","","II","1995-02-16","Yemen","x","Appendix II","","","13"
"12406","","Aloe","","polyphylla","","","","49","No","","Endangered","I","1975-07-01","Lesotho","x","Appendix I","","","29, 13"
"380","","Aloe","","pratensis","","","","19","No","","","II","1995-02-16","South Africa","x","Appendix II","","","37, 13"
"38186","","Aloe","","rabaiensis","","","","15","No","Least Concern","","II","1995-02-16","Somalia, Kenya, Tanzania","","Appendix II","leaves, roots","swellings, purgative","34, 13"
"384","","Aloe","","ramosissima","","","","39","No","Vulnerable","Vulnerable","II","1995-02-16","South Africa, Namibia","x","Appendix II","","","37, 13"
"386","","Aloe","","reitzii","","","","46","No","","","II","1995-02-16","South Africa","x","Appendix II","","","37, 13"
"398","","Aloe","","secundiflora","","","","33","No","","","II","1995-02-16","Rwanda, Ethiopia, Kenya, Tanzania, South Africa","","Appendix II","leaves, leaf sap","wounds, malaria, typhoid fever, headache, chest pain, disinfectant, conjunctivitis","34, 25, 13"
"38156","","Aloe","","simii","","","","9","No","","Vulnerable","II","1995-02-16","South Africa","x","Appendix II","","","37, 13"
"400","","Aloe","","sinkatana","","","","37","No","","","II","1995-02-16","Sudan","x","Appendix II","","","29, 13"
"405","","Aloe","","striata","","","","73","No","","","II","1995-02-16","South Africa, Somalia","x","Appendix II","","","37, 13"
"38176","","Aloe","","turkanensis","","","","9","No","","","II","1995-02-16","Kenya, Uganda, South Africa","","Appendix II","leaf sap","wounds, eye disease","34, 36, 10, 25, 13"
"425","","Aloe","","vera","","","","122","No","","","II","1995-02-16","Africa, US, Asia, Europe, Latin America and the Caribbean, India","","","exudate","laxative, purgative, skin problelems, haemorroids, digestion, ","34, 10, 39, 13"
"38191","","Aloe","","volkensii","","","","17","No","Least Concern","","II","1995-02-16","Rwanda, Kenya, Uganda, Tanzania","","Appendix II","leaf sap","burns, wounds, sores, eye infections, headache, purgative","34, 13"
"38346","","Aloe","","wollastonii","","","","3","No","","","II","1995-02-16","DR of Congo , Kenya , Uganda , Tanzania","","Appendix II","leaves","haemorroids, skin rash, uterine inflammation, jaundice, veterinary medicine","34, 13"
"434","","Aloe","","zebrina","","","","48","No","","","II","1995-02-16","Angola, Namibia, Botswana, Zimbabwe, Mozambique, Malawi, South Africa","","Appendix II","stem, leaves, juice","purgative, disinfectant, skin problems, conjunctivitis","34, 13"
"439","","Alpinia","","galanga","","","","40","No","","","","","India","x","","rhizome","rheumatism, fever","12, 24"
"13438","","Alpinia","","officinarum","","","","29","No","","","","","China","","","","","42"
"83637","","Alpinia","","oxyphylla","","","","3","No","","","","","China","","","","","42"
"5665","","Alpinia","","speciosa","","","","16","No","","","","","South America","","","","","31"
"442","","Alpinia","","zerumbet","","","","80","No","","","","","South America","","","","","31"
"70542","","Alstonia","","boonei","","","","4","No","","","","","from Senegal and Gambia to Ethiopia and Uganda","","","bark, latex","malaria, typhoid fever, gonorrhoea, asthma, dysentry, cough, sor throat, skin complaints, snakebites","34"
"61909","","Alstonia","","congensis","","","","3","No","","","","","from south-western Nigeria to the Central African Republic, eastern and southern DR Congo, and north","","","bark","malaria, gonorrhoea, diarrhoea, rheumatic pain","34"
"444","","Alstonia","","scholaris","","","","27","No","Lower Risk: Least Concern","","","","","","","leaf, bark, latex","venereal diseases, pneumonia, bronchitis, pulmonary tuberculosis","12, 10"
"38474","","Alternanthera","","sessilis","","","","11","No","","","","","Africa, US, South America, Asia, India","","","","stomach disorders, diarrhoea, dysentry, skin problems, headache, hernia, snakebites, veterinary medicine","34"
"13458","","Althaea","","officinalis","","","","104","No","","","","","India","","","root","cough, cold","12, 21"
"38485","","Alysicarpus","","ovalifolius","","","","2","No","","","","","West and East tropical Africa, Afghanistan, India, Vietnam, Indonesia, US","","","","","34"
"181678","","Amaranthus","","blitum","","","","9","Yes","","","","","Africa","","","leaves","","34"
"19487","","Amaranthus","","caudatus","","","Love Lies Bleeding","0","Yes","","","","","Ecuador, Peru, Bolivia, Argentina, Europe, Asia","","","root, seeds","laxative, giuretic, eye diseases","34"
"38538","","Amaranthus","","cruentus","","","","27","Yes","","","","","","","","","","34"
"192054","","Amaranthus","","dubius","","","","4","Yes","","","","","tropical America, tropical Asia, tropical Africa","","","fever, anaemia, constipation","","34"
"244988","","Amaranthus","","gangeticus","","","","1","Yes","","","","","India","","","whole plant","acute abdominal pain, chronic inflammation of skin, boils, burns, irregular menstrual cycle","12"
"38533","","Amaranthus","","graecizans","","","","8","Yes","","","","","tropical Africa, southern Europe, US","","","leaves","tonsillitis","34"
"184041","","Amaranthus","","paniculatus","","","","9","Yes","","","","","India","","","seed, leaf, shoot","piles","12"
"38531","","Amaranthus","","spinosus","","","","22","Yes","","","","","Africa, Central and South America, Asia, India","","","roots, leaves, plant ash","diuretic, gonorrhea, emollient, eczema, burns, wounds, earache, eye wash, snakebites","34"
"9659","","Amaranthus","","tricolor","","","","22","Yes","","","","","Africa","","","","","34"
"142401","","Amaranthus","","viridis","","","","7","Yes","","","","","Africa","","","","","34"
"191480","","Amblygonocarpus","","andongensis","","","","4","No","","","","","Africa","","","","","34"
"145313","","Amomum","","krervanh","","","","3","No","","","","","China","","","","","42"
"460","","Amorphophallus","","campanulatus","","","","2","No","","","","","India","","","tuber","piles, rheumatism","12"
"15988","","Ampelopsis","","japonica","","","","18","No","","","","","China","","","","","42, 22"
"38663","","Ampelopteris","","prolifera","","","","4","No","","","","","Africa","","","","","34"
"38698","","Anacamptis","","pyramidalis","","","","19","No","","","II","2005-01-12","Europe and Russia","x","Appendix II","","","13"
"464","","Anacardium","","occidentale","","","","44","Yes","","","","","India, South America, Caribbean","","","fruit, bark,","diarrhoea, diabetes, toothache, mouth ulcers","12, 10, 31, 39"
"286083","","Anagalis","","arvensis","","","","2","No","","","","","Europe","","","","","21"
"38734","","Anaphalis","","contorta","","","","2","No","","","","","North Pakistan","","","","","26"
"38724","","Anaphalis","","nepalensis","","","","5","No","","","","","North Pakistan","","","","","26"
"18317","","Anchomanes","","difformis","var.","difformis","","2","No","","","","","Africa and Madagascar","","","","","36"
"242121","","Ancistrocladus","","abbreviatus","","","","2","No","","","","","Africa","","","","","15"
"6886","","Andira","","inermis","","","","12","No","","","","","South America","","","","","31"
"13081","","Andrographis","","paniculata","","","","16","No","","","","","China, India","x","","whole plant","splenitis, hepatitis","42, 30, 24, 10, 12"
"191633","","Andropogon","","bicornis","","","","4","No","","","","","South America","","","","","31"
"38876","","Anemarrhena","","asphodeloides","","","","9","No","","","","","China","","","","","22"
"16269","","Anemone","","hupehensis","","","","73","No","","","","","China","","","","","22"
"38919","","Anemone","","rupicola","","","","20","No","","","","","India","","","leaves","the sap obtained after crushing the leaves is used in treating ears complaints","40"
"469","","Anemopsis","","californica","","","","41","No","","","","","US","x","","","","17"
"16740","","Anethum","","graveolens","","","","70","No","","","","","Europe, Latin America and the Caribbean","","","","","21, 39"
"38961","","Angelica","","anomala","","","","5","No","","","","","China","","","","","22"
"158408","","Angelica","","arguta","","","","4","No","","","","","US","x","","","","17"
"18580","","Angelica","","dahurica","","","Hangbaizhi","1","No","","","","","China","","","","","42, 22"
"16998","","Angelica","","glauca","","","","6","No","","","","","India","x","","roots","root powder to cure fever and cold","40, 14, 24, 12"
"12157","","Angelica","","pubescens","","","","6","No","","","","","China","","","","","22"
"5980","","Annona","","glabra","","","","30","Yes","","","","","South America","","","","","31"
"485","","Annona","","muricata","","","","76","Yes","","","","","South America","","","","","31"
"5981","","Annona","","reticulata","","","","38","Yes","","","","","India","","","bark, fruit,","seed and leaf is insecticidal, antiseptic, bark is astringent, fruit is anthelmintic, antidysenteric,","12"
"486","","Annona","","squamosa","","","","44","Yes","","","","","India","","","leaf, bark, root, seed, fruit",".","12"
"142272","","Anoectochilus","","formosanus","","","","4","No","","","","","Botswana , Mozambique , Namibia , South Africa , Swaziland , Zambia , Zimbabwe","x","Appendix II","","","13"
"70583","","Anogeissus","","leiocarpa","","","","2","No","","","","","","","","","","34"
"21326","","Ansellia","","africana","","","","45","No","","","II","2005-01-12","Botswana , Mozambique , Namibia , South Africa , Swaziland , Zambia , Zimbabwe","x","Appendix II","","","29, 37"
"132162","","Ansellia","","gigantea","","","","5","No","","","II","2005-01-12","Mozambique , South Africa","x","Appendix II","","","13"
"39129","","Anthemis","","nobilis","","","","16","No","","","","","India","","","oil, dried flower","tonic, carminative, insecticide, antiseptic, anti-tumour","12"
"39225","","Anthurium","","crassinervium","","","","27","No","","","","","South America","","","","","31"
"9707","","Antiaris","","toxicaria","","","","19","No","","","","","Africa","","","","","34"
"16738","","Apium","","graveolens","var.","rapaceum","","13","No","","","","","Africa, Europe, India","","","seed, plant","arthritis, hepato-renal dysfunctions","34, 21, 12"
"39329","","Apocynum","","cannabinum","","","","51","No","","","","","US","x","","","","17"
"61914","","Aquilaria","","malaccensis","","","","4","No","Vulnerable","","II","1995-02-16","India","x","Appendix II","","","27, 14, 13"
"62362","","Aquilaria","","sinensis","","","","7","No","Vulnerable","Vulnerable","II","2005-01-12","China","x","Appendix II","","","42, 22, 13"
"80050","","Arachis","","hypogaea","","","Matjan","1","Yes","","","","","Africa","","","","","34"
"223263","","Arachis","","hypogea","","","","2","Yes","","","","","Africa and Madagascar","","","","","36"
"509","","Aralia","","californica","","","","40","No","","","","","US","x","","","","17"
"39457","","Aralia","","nudicaulis","","","","35","No","","","","","US","x","","","","17"
"39454","","Aralia","","racemosa","","","","80","No","","","","","US","x","","","","17"
"39482","","Arctium","","lappa","","","","53","No","","","","","China","","","","","42, 22, 21"
"544","","Arctostaphylos","","uva-ursi","","","","109","No","","","","","Europe, US","x","","","","38, 21, 9, 17"
"546","","Areca","","catechu","","","","51","No","","","","","China","","","seeds","laxative, wormicidal, antiseptic, promotes menstrual flow","42, 22, 10, 12"
"39565","","Argemone","","mexicana","","","","55","No","","","","","India, Latin America and the Caribbean","","","root, stem, latex","eczema, skin disorders,  jaundice, asthma","4, 12, 39"
"6626","","Argyreia","","speciosa","","","","2","No","","","","","India","","","root","rheumatism, nervous disorders","12"
"19000","","Arisaema","","consanguineum","","","","59","No","","","","","China","","","","","22"
"191680","","Aristolochia","","bracteolata","","","","2","No","","","","","India","x","","","","24"
"136745","","Aristolochia","","contorta","","","","17","No","","","","","China","","","","","22"
"73515","","Aristolochia","","cymbifera","","","","12","No","","","","","South America","","","","","31"
"39757","","Aristolochia","","debilis","","","","9","No","","","","","China","","","","","22"
"6077","","Aristolochia","","indica","","","","2","No","","","","","India","","","root","fever, worm, wounds","10, 12"
"242017","","Aristolochia","cf.","serpentaria","","","","11","No","","","","","US","x","","","","17"
"10018","","Aristolochia","","tagala","","","","10","No","","","","","India","x","","","","24"
"167399","","Aristolochia","","westlandi","","","","1","No","","","","","China","","","","","22"
"572","","Armoracia","","rusticana","","","","79","No","","","","","Europe","","","","","21"
"14148","","Arnica","","montana","","","","65","No","","","","","Europe","x","","","","38, 16"
"158392","","Arnica","","sororia","","","","3","No","","","","","US","x","","","","17"
"19380","","Arrabidaea","","chica","","","","5","No","","","","","South America","","","","","31"
"574","","Artemisia","","absinthium","","","","114","No","","","","","North Pakistan","","","","","26"
"21282","","Artemisia","","alba","","","","33","No","","","","","Europe","","","","","21"
"39873","","Artemisia","","annua","","","","41","No","","","","","China","","","","","42"
"264601","","Artemisia","","argyi","","","","6","No","","","","","China","","","","","22"
"101207","","Artemisia","","capillaris","","","","7","No","","","","","China","","","","","22"
"577","","Artemisia","","douglasiana","","","","18","No","","","","","US","x","","","","17"
"18145","","Artemisia","","dracunculus","","","","98","No","","","","","US","x","","","","17"
"83642","","Artemisia","","gmelinii","","","","5","No","","","","","North Pakistan","","","","","26"
"6135","","Artemisia","","ludoviciana","","","","59","No","","","","","US","x","","","","17"
"39855","","Artemisia","","maritima","","","","18","No","","","","","North Pakistan","","","","","26"
"12387","","Artemisia","","pontica","","","","44","No","","","","","Europe","","","","","21"
"189740","","Artemisia","","santonicum","subsp.","santonicum","","1","No","","","","","Europe","","","","","21"
"583","","Artemisia","","vulgaris","","","","93","No","","","","","Europe","","","","","21"
"587","","Artocarpus","","altilis","","","","44","No","","","","","South America","","","","","31"
"39897","","Artocarpus","","communis","","","","2","No","","","","","India","","","fruit, leaf, latex,","rheumatism, boils, hernia","12"
"588","","Artocarpus","","heterophyllus","","","","65","No","","","","","India","","","whole plant","fever, asthma, acute abdominal pain, diarrhoea","12"
"39900","","Arum","","maculatum","","","","66","No","","","","","Europe","","","","","21"
"5585","","Arundina","","graminifolia","","","","34","No","","","II","2005-01-12","India , Indonesia , Singapore , Viet Nam","x","Appendix II","","","13"
"39994","","Asarum","","canadense","","","","95","No","","","","","US","x","","","","17"
"19490","","Asarum","","caudatum","","","","70","No","","","","","US","x","","","","17"
"39992","","Asarum","","europaeum","","","","109","No","","","","","Europe","","","","","21"
"614","","Asclepias","","curassavica","","","","86","No","","","","","India","","","flower, leaf , root","stomach tumour, piles, gonorrhoea, warts","12"
"40041","","Asclepias","","speciosa","","","","44","No","","","","","South America","","","","","31"
"621","","Asclepias","","tuberosa","","","","113","No","","","","","US","x","","","","17"
