"ID","Genus Hybrid","Genus","Species Hybrid","Species","Infraspecific Rank","Infraspecific Epithet","Cultivar","No. Locations","Crop Wild Relative","Red List","Red List 1997","CITES Appendix","CITES Last Assessed","Medicinal Distribution","Medicinal Threatened","Medicinal Cites Listed","Medicinal PartUsed","Medicinal Symptoms Treated","Medicinal Reference"
"30806","","Lomatium","","dissectum","","","","9","No","","","","","US","x","","","","17"
"4715","","Lonicera","","japonica","var.","halliana","","3","No","","","","","China","","","","","42, 22"
"30937","","Lophatherum","","gracile","","","","9","No","","","","","China","","","","","42, 22"
"6371","","Lophophora","","williamsii","","","","69","No","Least Concern","","II","2003-02-13","US, Mexico","x","Appendix II","","","17, 13"
"30970","","Lotus","","corniculatus","","","","65","No","","","","","North Pakistan","","","","","26"
"156818","","Ludwigia","","erecta","","","","2","No","","","","","Africa","","","","","34"
"192606","","Ludwigia","","leptocarpa","","","","2","No","","","","","Africa","","","","","34"
"30999","","Ludwigia","","peruviana","","","","7","No","","","","","South America","","","","","31"
"6729","","Luffa","","acutangula","","","","22","No","","","","","India, Africa","","","fruit, root, leaf","diuretic, nutritive, emetic, expectorant","12, 34"
"162270","","Lupinus","","albus","subsp.","albus","","4","Yes","","","","","Africa","","","","","34"
"2792","","Lycium","","barbarum","","","","62","No","","","","","China","","","","","42, 22"
"2795","","Lycium","","chinense","","","","59","No","","","","","China","","","","","22"
"2798","","Lycopersicon","","esculentum","","","","25","Yes","","","","","Latin America and the Caribbean","","","","","39"
"31157","","Lycopodiella","","cernua","","","","5","No","","","","","Africa","","","","","34"
"62879","","Lycopodium","","clavatum","","","","19","No","","","","","India, US","x","","powder","rheumatism, respiratory disease","12, 17"
"79934","","Lycopodium","","obscurum","","","","12","No","","","","","US","x","","","","17"
"224778","","Lycopus","","lucidus","","","","2","No","","","","","China","","","","","42, 22"
"242841","","Lycopus","","virginicus","","","","15","No","","","","","US","x","","","","17"
"15762","","Lygodium","","japonicum","","","","61","No","","","","","China","","","","","42"
"151595","","Madhuca","","indica","","","","1","No","","","","","India","","","bark, flower","bronchitis, rheumatism, diabetes, piles, orchitis, tonsillitis, eczema","12"
