"cwr_id","orig_record","sp","spp","var","auth"
629,"Gossypium anomalum subsp. senarense (Fenzl ex Wawra & Peyr.) Vollesen","Gossypium anomalum","senarense",,"(Fenzl"
630,"Gossypium anomalum Wawra","Gossypium anomalum",,,"Wawra"
631,"Gossypium anomalum Wawra subsp. anomalum ","Gossypium anomalum","anomalum",,"Wawra subsp. anomalum "
632,"Gossypium arboreum L.","Gossypium arboreum",,,"L."
633,"Gossypium aridum (Rose & Standl.) Skovst.","Gossypium aridum",,,"(Rose & Standl.) Skovst."
634,"Gossypium armourianum Kearney","Gossypium armourianum",,,"Kearney"
635,"Gossypium barbadense L.","Gossypium barbadense",,,"L."
636,"Gossypium darwinii G. Watt","Gossypium darwinii",,,"G. Watt"
637,"Gossypium davidsonii Kellogg","Gossypium davidsonii",,,"Kellogg"
638,"Gossypium ekmanianum Wittm.","Gossypium ekmanianum",,,"Wittm."
639,"Gossypium gossypioides (Ulbr.) Standl.","Gossypium gossypioides",,,"(Ulbr.) Standl."
640,"Gossypium harknessii Brandegee","Gossypium harknessii",,,"Brandegee"
641,"Gossypium herbaceum L.","Gossypium herbaceum",,,"L."
642,"Gossypium herbaceum subsp. africanum (G.Watt) Vollesen","Gossypium herbaceum","africanum",,"(G.Watt)"
643,"Gossypium hirsutum L.","Gossypium hirsutum",,,"L."
644,"Gossypium klotzschianum Andersson","Gossypium klotzschianum",,,"Andersson"
645,"Gossypium laxum L. Ll. Phillips","Gossypium laxum",,,"L. Ll. Phillips"
646,"Gossypium lobatum Gentry","Gossypium lobatum",,,"Gentry"
647,"Gossypium longicalyx J. B. Hutch. & B. J. S. Lee","Gossypium longicalyx",,,"J. B. Hutch. & B. J. S. Lee"
648,"Gossypium mustelinum Miers ex G. Watt","Gossypium mustelinum",,,"Miers ex G. Watt"
649,"Gossypium raimondii Ulbr.","Gossypium raimondii",,,"Ulbr."
650,"Gossypium schwendimanii Fryxell & S. D. Koch","Gossypium schwendimanii",,,"Fryxell & S. D. Koch"
651,"Gossypium thurberi Tod.","Gossypium thurberi",,,"Tod."
652,"Gossypium trilobum (DC.) Skovst.","Gossypium trilobum",,,"(DC.) Skovst."
653,"Gossypium triphyllum (Harv.) Hochr.","Gossypium triphyllum",,,"(Harv.) Hochr."
654,"Gossypium turneri Fryxell","Gossypium turneri",,,"Fryxell"
655,"Helianthus annuus L.","Helianthus annuus",,,"L."
656,"Helianthus anomalus S. F. Blake","Helianthus anomalus",,,"S. F. Blake"
657,"Helianthus argophyllus Torr. & A. Gray","Helianthus argophyllus",,,"Torr. & A. Gray"
658,"Helianthus arizonensis R. C. Jacks","Helianthus arizonensis",,,"R. C. Jacks"
659,"Helianthus atrorubens L.","Helianthus atrorubens",,,"L."
660,"Helianthus bolanderi A. Gray","Helianthus bolanderi",,,"A. Gray"
661,"Helianthus californicus DC.","Helianthus californicus",,,"DC."
662,"Helianthus debilis Nutt.","Helianthus debilis",,,"Nutt."
663,"Helianthus debilis Nutt. subsp. debilis ","Helianthus debilis","debilis",,"Nutt. subsp. debilis "
664,"Helianthus debilis subsp. cucumerifolius (Torr. & A. Gray) Heiser","Helianthus debilis","cucumerifolius",,"(Torr."
665,"Helianthus debilis subsp. silvestris Heiser","Helianthus debilis","silvestris",,"Heiser"
666,"Helianthus debilis subsp. tardiflorus Heiser","Helianthus debilis","tardiflorus",,"Heiser"
667,"Helianthus debilis subsp. vestitus (E. Watson) Heiser","Helianthus debilis","vestitus",,"(E."
668,"Helianthus decapetalus L.","Helianthus decapetalus",,,"L."
669,"Helianthus deserticola Heiser","Helianthus deserticola",,,"Heiser"
670,"Helianthus divaricatus L.","Helianthus divaricatus",,,"L."
671,"Helianthus eggertii Small","Helianthus eggertii",,,"Small"
672,"Helianthus exilis A. Gray","Helianthus exilis",,,"A. Gray"
673,"Helianthus giganteus L.","Helianthus giganteus",,,"L."
674,"Helianthus grosseserratus M. Martens","Helianthus grosseserratus",,,"M. Martens"
675,"Helianthus hirsutus Raf.","Helianthus hirsutus",,,"Raf."
676,"Helianthus maximilianii Schrad.","Helianthus maximilianii",,,"Schrad."
677,"Helianthus mollis Lam.","Helianthus mollis",,,"Lam."
678,"Helianthus neglectus Heiser","Helianthus neglectus",,,"Heiser"
679,"Helianthus niveus (Benth.) Brandegee","Helianthus niveus",,,"(Benth.) Brandegee"
680,"Helianthus niveus (Benth.) Brandegee subsp. niveus ","Helianthus niveus","niveus",,"(Benth.) Brandegee subsp. niveus "
681,"Helianthus niveus subsp. canescens (A. Gray) Heiser","Helianthus niveus","canescens",,"(A."
682,"Helianthus niveus subsp. tephrodes (A. Gray) Heiser","Helianthus niveus","tephrodes",,"(A."
683,"Helianthus nuttallii Torr & A. Gray","Helianthus nuttallii",,,"Torr & A. Gray"
684,"Helianthus paradoxus Heiser","Helianthus paradoxus",,,"Heiser"
685,"Helianthus pauciflorus Nutt.","Helianthus pauciflorus",,,"Nutt."
686,"Helianthus petiolaris Nutt.","Helianthus petiolaris",,,"Nutt."
687,"Helianthus petiolaris Nutt. subsp. petiolaris ","Helianthus petiolaris","petiolaris",,"Nutt. subsp. petiolaris "
688,"Helianthus petiolaris subsp. fallax Heiser","Helianthus petiolaris","fallax",,"Heiser"
689,"Helianthus praecox Engelm. & A. Gray","Helianthus praecox",,,"Engelm. & A. Gray"
690,"Helianthus praecox Engelm. & A. Gray subsp. praecox ","Helianthus praecox","praecox",,"Engelm. & A. Gray subsp. praecox "
691,"Helianthus praecox subsp. hirtus (Heiser) Heiser","Helianthus praecox","hirtus",,"(Heiser)"
692,"Helianthus praecox subsp. runyonii (Heiser) Heiser","Helianthus praecox","runyonii",,"(Heiser)"
693,"Helianthus resinosus Small","Helianthus resinosus",,,"Small"
694,"Helianthus salicifolius A. Dietr.","Helianthus salicifolius",,,"A. Dietr."
695,"Helianthus schweinitzii Torr & A. Gray","Helianthus schweinitzii",,,"Torr & A. Gray"
696,"Helianthus silphioides Nutt.","Helianthus silphioides",,,"Nutt."
697,"Helianthus strumosus L.","Helianthus strumosus",,,"L."
698,"Helianthus tuberosus L.","Helianthus tuberosus",,,"L."
699,"Hordeum brevisubulatum (Trinius) Link","Hordeum brevisubulatum",,,"(Trinius) Link"
700,"Hordeum bulbosum L.","Hordeum bulbosum",,,"L."
701,"Hordeum chilense Roemer & Schultes","Hordeum chilense",,,"Roemer & Schultes"
702,"Hordeum vulgare subsp. spontaneum (C. Koch.) Thell.","Hordeum vulgare","spontaneum",,"(C."
703,"Ilex affinis Gardner","Ilex affinis",,,"Gardner"
704,"Ilex amara Loes.","Ilex amara",,,"Loes."
705,"Ilex anomala Hook. & Arn.","Ilex anomala",,,"Hook. & Arn."
706,"Ilex argentina Lillo","Ilex argentina",,,"Lillo"
707,"Ilex asperula Mart. ex Reissek","Ilex asperula",,,"Mart. ex Reissek"
708,"Ilex brasiliensis (Spreng.) Loes.","Ilex brasiliensis",,,"(Spreng.) Loes."
709,"Ilex brevicuspis Reissek","Ilex brevicuspis",,,"Reissek"
710,"Ilex buxifolia Gardn.","Ilex buxifolia",,,"Gardn."
711,"Ilex canariensis Poir.","Ilex canariensis",,,"Poir."
712,"Ilex cassine L.","Ilex cassine",,,"L."
713,"Ilex chamaedryfolia Reissek","Ilex chamaedryfolia",,,"Reissek"
714,"Ilex conocarpa Reissek","Ilex conocarpa",,,"Reissek"
715,"Ilex cumulicola Sm.","Ilex cumulicola",,,"Sm."
716,"Ilex discolor Hemsl.","Ilex discolor",,,"Hemsl."
717,"Ilex dugesii Fernald","Ilex dugesii",,,"Fernald"
718,"Ilex dumosa Reissek","Ilex dumosa",,,"Reissek"
719,"Ilex hippocrateoides Kunth","Ilex hippocrateoides",,,"Kunth"
720,"Ilex integerrima Reissek","Ilex integerrima",,,"Reissek"
721,"Ilex laurina Kunth","Ilex laurina",,,"Kunth"
722,"Ilex liebmannii Standl.","Ilex liebmannii",,,"Standl."
723,"Ilex lundii Warm.","Ilex lundii",,,"Warm."
724,"Ilex microdonta Reissek","Ilex microdonta",,,"Reissek"
725,"Ilex myrtifolia Walter","Ilex myrtifolia",,,"Walter"
726,"Ilex nitida (Vahl) Maxim.","Ilex nitida",,,"(Vahl) Maxim."
727,"Ilex opaca Aiton","Ilex opaca",,,"Aiton"
728,"Ilex paraguariensis A. St.-Hil.","Ilex paraguariensis",,,"A. St.-Hil."
729,"Ilex pseudobuxus Reissek","Ilex pseudobuxus",,,"Reissek"
730,"Ilex quercetorum I. M. Johnst.","Ilex quercetorum",,,"I. M. Johnst."
731,"Ilex repanda Griseb.","Ilex repanda",,,"Griseb."
732,"Ilex retusa Klotzsch ex Reissek","Ilex retusa",,,"Klotzsch ex Reissek"
733,"Ilex rubra S. Watson","Ilex rubra",,,"S. Watson"
734,"Ilex rupicola Kunth","Ilex rupicola",,,"Kunth"
735,"Ilex theezans Mart.","Ilex theezans",,,"Mart."
736,"Ilex tolucana Hemsl.","Ilex tolucana",,,"Hemsl."
737,"Ilex vomitoria Aiton","Ilex vomitoria",,,"Aiton"
738,"Ilex x attenuata Ashe","Ilex x",,,"attenuata Ashe"
739,"Ipomoea batatas var. apiculata (Martens & Galeotti) McDonald & Austin","Ipomoea batatas",,"apiculata ","(Martens & Galeotti) McDonald & Austin"
740,"Ipomoea cordatotriloba Dennstedt","Ipomoea cordatotriloba",,,"Dennstedt"
741,"Ipomoea cynanchifolia Meisner","Ipomoea cynanchifolia",,,"Meisner"
742,"Ipomoea grandifolia (Dammer) ODonell","Ipomoea grandifolia",,,"(Dammer) ODonell"
743,"Ipomoea lacunosa L.","Ipomoea lacunosa",,,"L."
744,"Ipomoea leucantha Jacquin","Ipomoea leucantha",,,"Jacquin"
745,"Ipomoea littoralis Blume","Ipomoea littoralis",,,"Blume"
746,"Ipomoea ramosissima (Poiret) Choisy","Ipomoea ramosissima",,,"(Poiret) Choisy"
747,"Ipomoea tabascana McDonald & Austin","Ipomoea tabascana",,,"McDonald & Austin"
748,"Ipomoea tenuissima Choisy","Ipomoea tenuissima",,,"Choisy"
749,"Ipomoea tiliacea (Willdenow) Choisy in D.C.","Ipomoea tiliacea",,,"(Willdenow) Choisy in D.C."
750,"Ipomoea trifida (H.B.K.) G.Don.","Ipomoea trifida",,,"(H.B.K.) G.Don."
751,"Ipomoea triloba L.","Ipomoea triloba",,,"L."
752,"Ipomoea umbraticola House","Ipomoea umbraticola",,,"House"
753,"Isatis tinctoria L.","Isatis tinctoria",,,"L."
754,"Isatis tinctoria subsp. athoa (Boiss.) Papan.","Isatis tinctoria","athoa",,"(Boiss.)"
755,"Isatis tinctoria subsp. corymbosa (Boiss.) P. H. Davis","Isatis tinctoria","corymbosa",,"(Boiss.)"
756,"Isatis tinctoria subsp. tomentella (Boiss. & Balansa) P. H. Davis","Isatis tinctoria","tomentella",,"(Boiss."
757,"Juglans _ intermedia Jacques","Juglans _",,,"intermedia Jacques"
758,"Juglans ailantifolia Carr.","Juglans ailantifolia",,,"Carr."
759,"Juglans ailantifolia Carr. var. ailantifolia ","Juglans ailantifolia",,"ailantifolia ","Carr. "
760,"Juglans ailantifolia var. cordiformis (Makino) Rehd.","Juglans ailantifolia",,"cordiformis ","(Makino) Rehd."
761,"Juglans australis Griseb.","Juglans australis",,,"Griseb."
762,"Juglans boliviana (C. DC.) Dode","Juglans boliviana",,,"(C. DC.) Dode"
763,"Juglans californica S Wats.","Juglans californica",,,"S Wats."
764,"Juglans cinerea L.","Juglans cinerea",,,"L."
765,"Juglans hindsii (Jeps.) Rehder","Juglans hindsii",,,"(Jeps.) Rehder"
766,"Juglans hirsuta Mann.","Juglans hirsuta",,,"Mann."
767,"Juglans jamaicensis C. DC.","Juglans jamaicensis",,,"C. DC."
768,"Juglans major (Torr. ex. Sitsgr.) Heller var. major ","Juglans major",,"major ","(Torr. ex. Sitsgr.) Heller "
769,"Juglans major (Torr.) A. Heller","Juglans major",,,"(Torr.) A. Heller"
770,"Juglans major var. glabrata Mann.","Juglans major",,"glabrata ","Mann."
771,"Juglans mandshurica Maxim.","Juglans mandshurica",,,"Maxim."
772,"Juglans microcarpa Berl.","Juglans microcarpa",,,"Berl."
773,"Juglans microcarpa Berl. var. microcarpa ","Juglans microcarpa",,"microcarpa ","Berl. "
774,"Juglans microcarpa var. stewartii (Johnston) Mann.","Juglans microcarpa",,"stewartii ","(Johnston) Mann."
775,"Juglans mollis Engelm. ex Hemsl.","Juglans mollis",,,"Engelm. ex Hemsl."
776,"Juglans neotropica Diels","Juglans neotropica",,,"Diels"
777,"Juglans nigra L.","Juglans nigra",,,"L."
778,"Juglans olanchana Standl. & L.O. Williams","Juglans olanchana",,,"Standl. & L.O. Williams"
779,"Juglans olanchana Standl. & L.O. Williams var. olanchana ","Juglans olanchana",,"olanchana ","Standl. & L.O. Williams "
780,"Juglans olanchana var. standleyi Mann.","Juglans olanchana",,"standleyi ","Mann."
781,"Juglans pyriformis Liebm.","Juglans pyriformis",,,"Liebm."
782,"Juglans regia L.","Juglans regia",,,"L."
783,"Juglans sigillata Dode","Juglans sigillata",,,"Dode"
784,"Juglans soratensis Mann.","Juglans soratensis",,,"Mann."
785,"Juglans steyermarkii Mann.","Juglans steyermarkii",,,"Mann."
786,"Juglans venezuelensis Mann.","Juglans venezuelensis",,,"Mann."
787,"Lablab purpureus (L.) Sweet","Lablab purpureus",,,"(L.) Sweet"
788,"Lablab purpureus subsp. bengalensis (Jacq.) Verdc.","Lablab purpureus","bengalensis",,"(Jacq.)"
789,"Lablab purpureus subsp. uncinatus Verdc.","Lablab purpureus","uncinatus",,"Verdc."
790,"Lactuca aculeata Boiss. & Kotschy","Lactuca aculeata",,,"Boiss. & Kotschy"
791,"Lactuca azerbaijanica Rech. F.","Lactuca azerbaijanica",,,"Rech. F."
792,"Lactuca dregeana DC.","Lactuca dregeana",,,"DC."
793,"Lactuca georgica Grossh.","Lactuca georgica",,,"Grossh."
794,"Lactuca saligna L.","Lactuca saligna",,,"L."
795,"Lactuca scarioloides Boiss.","Lactuca scarioloides",,,"Boiss."
796,"Lactuca serriola L.","Lactuca serriola",,,"L."
797,"Lactuca virosa L.","Lactuca virosa",,,"L."
798,"Lactuca virosa L. subsp. virosa ","Lactuca virosa","virosa",,"L. subsp. virosa "
799,"Lactuca virosa subsp. cornigera (Pau & Font Quer) Emb. & Maire","Lactuca virosa","cornigera",,"(Pau"
800,"Lactuca virosa subsp. livida (Boiss. & Reut.) Ladero & A. Velasco","Lactuca virosa","livida",,"(Boiss."
801,"Lathyrus amphicarpos L.","Lathyrus amphicarpos",,,"L."
802,"Lathyrus annuus L.","Lathyrus annuus",,,"L."
803,"Lathyrus basalticus Rech.f.","Lathyrus basalticus",,,"Rech.f."
804,"Lathyrus belinensis Maxted & Goyder","Lathyrus belinensis",,,"Maxted & Goyder"
805,"Lathyrus blepharicarpus Boiss.","Lathyrus blepharicarpus",,,"Boiss."
806,"Lathyrus cassius Boiss.","Lathyrus cassius",,,"Boiss."
807,"Lathyrus chloranthus Boiss.","Lathyrus chloranthus",,,"Boiss."
808,"Lathyrus chrysanthus Boiss.","Lathyrus chrysanthus",,,"Boiss."
809,"Lathyrus cicera L.","Lathyrus cicera",,,"L."
810,"Lathyrus cilicicus Hayek & Siehe","Lathyrus cilicicus",,,"Hayek & Siehe"
811,"Lathyrus cirrhosus Ser.","Lathyrus cirrhosus",,,"Ser."
812,"Lathyrus clymenum L.","Lathyrus clymenum",,,"L."
813,"Lathyrus gloeospermus Warb. & Eig","Lathyrus gloeospermus",,,"Warb. & Eig"
814,"Lathyrus gorgoni Parl.","Lathyrus gorgoni",,,"Parl."
815,"Lathyrus grandiflorus Sibth. & Sm.","Lathyrus grandiflorus",,,"Sibth. & Sm."
816,"Lathyrus heterophyllus L.","Lathyrus heterophyllus",,,"L."
817,"Lathyrus hierosolymitanus Boiss.","Lathyrus hierosolymitanus",,,"Boiss."
818,"Lathyrus hirsutus L.","Lathyrus hirsutus",,,"L."
819,"Lathyrus hirticarpus Mattatia & Heyn","Lathyrus hirticarpus",,,"Mattatia & Heyn"
820,"Lathyrus latifolius L.","Lathyrus latifolius",,,"L."
821,"Lathyrus lycicus Boiss.","Lathyrus lycicus",,,"Boiss."
822,"Lathyrus marmoratus Boiss. & Blanche","Lathyrus marmoratus",,,"Boiss. & Blanche"
823,"Lathyrus mulkak Lipsky","Lathyrus mulkak",,,"Lipsky"
824,"Lathyrus ochrus (L.) DC.","Lathyrus ochrus",,,"(L.) DC."
825,"Lathyrus odoratus L.","Lathyrus odoratus",,,"L."
826,"Lathyrus phaselitanus Huber-Mor. & P. Davis","Lathyrus phaselitanus",,,"Huber-Mor. & P. Davis"
827,"Lathyrus pseudocicera Pamp.","Lathyrus pseudocicera",,,"Pamp."
828,"Lathyrus rotundifolius Willd.","Lathyrus rotundifolius",,,"Willd."
829,"Lathyrus stenophyllus Boiss. & Heldr.","Lathyrus stenophyllus",,,"Boiss. & Heldr."
830,"Lathyrus sylvestris L.","Lathyrus sylvestris",,,"L."
831,"Lathyrus tingitanus L.","Lathyrus tingitanus",,,"L."
832,"Lathyrus trachycarpus (Boiss.) Boiss.","Lathyrus trachycarpus",,,"(Boiss.) Boiss."
833,"Lathyrus tuberosus L.","Lathyrus tuberosus",,,"L."
834,"Lathyrus undulatus Boiss.","Lathyrus undulatus",,,"Boiss."
835,"Lens culinaris subsp. odemensis (Ladiz.) M. E. Ferguson et al.","Lens culinaris","odemensis",,"(Ladiz.)"
836,"Lens culinaris subsp. orientalis (Boiss.) Ponert","Lens culinaris","orientalis",,"(Boiss.)"
837,"Lens ervoides (Brign.) Grande","Lens ervoides",,,"(Brign.) Grande"
838,"Lens nigricans (M. Bieb.) Godr.","Lens nigricans",,,"(M. Bieb.) Godr."
839,"Lepidium echinatum Hewson","Lepidium echinatum",,,"Hewson"
840,"Lepidium flavum Torr.","Lepidium flavum",,,"Torr."
841,"Lepidium fremontii S. Watson","Lepidium fremontii",,,"S. Watson"
842,"Lepidium leptopetalum F. Muell.","Lepidium leptopetalum",,,"F. Muell."
843,"Lepidium linifolium Steud.","Lepidium linifolium",,,"Steud."
844,"Lepidium meyenii Walp.","Lepidium meyenii",,,"Walp."
845,"Lepidium montanum Nutt.","Lepidium montanum",,,"Nutt."
846,"Lepidium pedicellosum F. Muell.","Lepidium pedicellosum",,,"F. Muell."
847,"Lepidium phlebopetalum (F. Muell.) F. Muell.","Lepidium phlebopetalum",,,"(F. Muell.) F. Muell."
848,"Lepidium pholidogymum F. Muell.","Lepidium pholidogymum",,,"F. Muell."
849,"Lepidium quitense Turcz.","Lepidium quitense",,,"Turcz."
850,"Lepidium sativum L.","Lepidium sativum",,,"L."
851,"Lupinus albus L.","Lupinus albus",,,"L."
852,"Lupinus albus L. var. albus ","Lupinus albus",,"albus ","L. "
853,"Lupinus albus var. graecus (Boiss. & Spruner) Gladst. ","Lupinus albus",,"graecus ","(Boiss. & Spruner) Gladst. "
854,"Lupinus angustifolius L.","Lupinus angustifolius",,,"L."
855,"Lupinus arizonicus (S.Watson) S.Watson","Lupinus arizonicus",,,"(S.Watson) S.Watson"
856,"Lupinus atlanticus Gladst.","Lupinus atlanticus",,,"Gladst."
857,"Lupinus cosentinii Guss.","Lupinus cosentinii",,,"Guss."
858,"Lupinus digitatus Forssk.","Lupinus digitatus",,,"Forssk."
859,"Lupinus elegans Kunth","Lupinus elegans",,,"Kunth"
860,"Lupinus ellsworthianus C.P. Sm.","Lupinus ellsworthianus",,,"C.P. Sm."
861,"Lupinus hartwegii Lindl.","Lupinus hartwegii",,,"Lindl."
862,"Lupinus hispanicus Boiss. & Reut.","Lupinus hispanicus",,,"Boiss. & Reut."
863,"Lupinus hispanicus Boiss. & Reut. subsp. hispanicus ","Lupinus hispanicus","hispanicus",,"Boiss. & Reut. subsp. hispanicus "
864,"Lupinus hispanicus subsp. bicolor (Merino) Gladstones","Lupinus hispanicus","bicolor",,"(Merino)"
865,"Lupinus luteus L.","Lupinus luteus",,,"L."
866,"Lupinus luteus subsp. orientalis Kazimierski & E. M. Kazimierska","Lupinus luteus","orientalis",,"Kazimierski"
867,"Lupinus micranthus Guss.","Lupinus micranthus",,,"Guss."
868,"Lupinus mutabilis Sweet","Lupinus mutabilis",,,"Sweet"
869,"Lupinus nanus Benth.","Lupinus nanus",,,"Benth."
870,"Lupinus palaestinus Boiss.","Lupinus palaestinus",,,"Boiss."
871,"Lupinus pilosus L.","Lupinus pilosus",,,"L."
872,"Lupinus piurensis C. P. Sm.","Lupinus piurensis",,,"C. P. Sm."
873,"Lupinus polyphyllus Lindl.","Lupinus polyphyllus",,,"Lindl."
874,"Lupinus praestabilis C. P. Sm.","Lupinus praestabilis",,,"C. P. Sm."
875,"Lupinus princei Harms","Lupinus princei",,,"Harms"
876,"Lupinus pubescens Benth.","Lupinus pubescens",,,"Benth."
877,"Lupinus semperflorens Benth.","Lupinus semperflorens",,,"Benth."
878,"Lupinus somalensis Baker f.","Lupinus somalensis",,,"Baker f."
879,"Lupinus tomentosus DC.","Lupinus tomentosus",,,"DC."
880,"Lycopersicon pennellii (Correll) D'Arcy","Lycopersicon pennellii",,,"(Correll) D'Arcy"
881,"Malus _ micromalus Makino","Malus _",,,"micromalus Makino"
882,"Malus _ sublobata (Dippel) Rehder","Malus _",,,"sublobata (Dippel) Rehder"
883,"Malus asiatica Nakai","Malus asiatica",,,"Nakai"
884,"Malus baccata (L.) Borkh.","Malus baccata",,,"(L.) Borkh."
885,"Malus baccata (L.) Borkh. var. baccata ","Malus baccata",,"baccata ","(L.) Borkh. "
886,"Malus baccata var. daochengensis (C. L. Li) Ponomar.","Malus baccata",,"daochengensis ","(C. L. Li) Ponomar."
887,"Malus baccata var. himalaica (Maxim.) C.K. Schneid.","Malus baccata",,"himalaica ","(Maxim.) C.K. Schneid."
888,"Malus baccata var. jinxianensis (J. Q. Deng & J. Y. Hong) Ponomar.","Malus baccata",,"jinxianensis ","(J. Q. Deng & J. Y. Hong) Ponomar."
889,"Malus baccata var. xiaojinensis (M. H. Cheng & N. G. Jiang) Ponomar.","Malus baccata",,"xiaojinensis ","(M. H. Cheng & N. G. Jiang) Ponomar."
890,"Malus chitralensis Vassilczenko","Malus chitralensis",,,"Vassilczenko"
891,"Malus crescimannoi Raimondo","Malus crescimannoi",,,"Raimondo"
892,"Malus doumeri (Bois) A. Chev.","Malus doumeri",,,"(Bois) A. Chev."
893,"Malus floribunda Koidz.","Malus floribunda",,,"Koidz."
894,"Malus fusca (Raf.) C.K. Schneid.","Malus fusca",,,"(Raf.) C.K. Schneid."
895,"Malus halliana Koehne","Malus halliana",,,"Koehne"
896,"Malus honanensis Rehder","Malus honanensis",,,"Rehder"
897,"Malus hupehensis (Pamp.) Rehder","Malus hupehensis",,,"(Pamp.) Rehder"
898,"Malus kansuensis (Batalin) C. K. Schneid.","Malus kansuensis",,,"(Batalin) C. K. Schneid."
899,"Malus komarovii (Sarg.) Rehder","Malus komarovii",,,"(Sarg.) Rehder"
900,"Malus mandshurica (Maxim.) Kom. ex Skvortsov","Malus mandshurica",,,"(Maxim.) Kom. ex Skvortsov"
901,"Malus muliensis T. C. Ku","Malus muliensis",,,"T. C. Ku"
902,"Malus ombrophila Hand.-Mazz.","Malus ombrophila",,,"Hand.-Mazz."
903,"Malus orientalis Uglit.","Malus orientalis",,,"Uglit."
904,"Malus prattii (Hemsl.) C. K. Schneid.","Malus prattii",,,"(Hemsl.) C. K. Schneid."
905,"Malus prunifolia (Willdenow) Borkh.","Malus prunifolia",,,"(Willdenow) Borkh."
906,"Malus pumila Miller","Malus pumila",,,"Miller"
907,"Malus robusta Carr","Malus robusta",,,"Carr"
908,"Malus sargentii Rehder","Malus sargentii",,,"Rehder"
909,"Malus sieversii (Ledebour) M. Roemer","Malus sieversii",,,"(Ledebour) M. Roemer"
910,"Malus sikkimensis (Wenz.) Koehne ex C. K. Schneid.","Malus sikkimensis",,,"(Wenz.) Koehne ex C. K. Schneid."
911,"Malus spectabilis (Aiton) Borkh.","Malus spectabilis",,,"(Aiton) Borkh."
912,"Malus sylvestris (L.) Miller","Malus sylvestris",,,"(L.) Miller"
913,"Malus toringo (Siebold) de Vriese","Malus toringo",,,"(Siebold) de Vriese"
914,"Malus toringoides (Rehder) Hughes","Malus toringoides",,,"(Rehder) Hughes"
915,"Malus transitoria (Batalin) C. K. Schneid.","Malus transitoria",,,"(Batalin) C. K. Schneid."
916,"Malus tschonoskii (Maxim.) C. K. Schneid.","Malus tschonoskii",,,"(Maxim.) C. K. Schneid."
917,"Malus yunnanensis (Franch.) C. K. Schneid.","Malus yunnanensis",,,"(Franch.) C. K. Schneid."
918,"Malus zumi (Matsum.) Rehder","Malus zumi",,,"(Matsum.) Rehder"
919,"Mangifera altissima Blanco.","Mangifera altissima",,,"Blanco."
920,"Mangifera andamanica King","Mangifera andamanica",,,"King"
921,"Mangifera applanata Kosterm.","Mangifera applanata",,,"Kosterm."
922,"Mangifera austro-indica Kosterm.","Mangifera austro-indica",,,"Kosterm."
923,"Mangifera caloneura Kurz","Mangifera caloneura",,,"Kurz"
924,"Mangifera casturi Kosterm.","Mangifera casturi",,,"Kosterm."
925,"Mangifera cochinchinensis Engler","Mangifera cochinchinensis",,,"Engler"
926,"Mangifera collina Kosterm.","Mangifera collina",,,"Kosterm."
927,"Mangifera dewildei Kosterm.","Mangifera dewildei",,,"Kosterm."
928,"Mangifera dongnaiensis Pierre","Mangifera dongnaiensis",,,"Pierre"
929,"Mangifera flava Evard.","Mangifera flava",,,"Evard."
930,"Mangifera gedebe Miq","Mangifera gedebe",,,"Miq"
931,"Mangifera gracilepes Hook. f.","Mangifera gracilepes",,,"Hook. f."
932,"Mangifera griffithii Hook. f.","Mangifera griffithii",,,"Hook. f."
933,"Mangifera indica L.","Mangifera indica",,,"L."
934,"Mangifera lalijiwa Kosterm.","Mangifera lalijiwa",,,"Kosterm."
935,"Mangifera laurina Bl.","Mangifera laurina",,,"Bl."
936,"Mangifera linearifolia (Mukherji) Kosterm.","Mangifera linearifolia",,,"(Mukherji) Kosterm."
937,"Mangifera longipetiolata King","Mangifera longipetiolata",,,"King"
938,"Mangifera magnifica Kochummen","Mangifera magnifica",,,"Kochummen"
939,"Mangifera merrillii Mukherji","Mangifera merrillii",,,"Mukherji"
940,"Mangifera microphylla Griff. ex Hooker f.","Mangifera microphylla",,,"Griff. ex Hooker f."
941,"Mangifera minor Bl.","Mangifera minor",,,"Bl."
942,"Mangifera minutifolia Evard.","Mangifera minutifolia",,,"Evard."
943,"Mangifera monandra Merr.","Mangifera monandra",,,"Merr."
944,"Mangifera mucronulata Bl.","Mangifera mucronulata",,,"Bl."
945,"Mangifera nicobarica Kosterm.","Mangifera nicobarica",,,"Kosterm."
946,"Mangifera oblongifolia Hooker f.","Mangifera oblongifolia",,,"Hooker f."
947,"Mangifera orophila Kosterm.","Mangifera orophila",,,"Kosterm."
948,"Mangifera paludosa Kosterm.","Mangifera paludosa",,,"Kosterm."
949,"Mangifera parvifolia Boerl. & Koorders","Mangifera parvifolia",,,"Boerl. & Koorders"
950,"Mangifera pedicellata Kosterm.","Mangifera pedicellata",,,"Kosterm."
951,"Mangifera pentandra Hooker f.","Mangifera pentandra",,,"Hooker f."
952,"Mangifera pseudo-indica Kosterm.","Mangifera pseudo-indica",,,"Kosterm."
953,"Mangifera quadrifida Jack","Mangifera quadrifida",,,"Jack"
954,"Mangifera rigida Bl.","Mangifera rigida",,,"Bl."
955,"Mangifera rubropetala Kosterm.","Mangifera rubropetala",,,"Kosterm."
956,"Mangifera rufocostata Kosterm.","Mangifera rufocostata",,,"Kosterm."
957,"Mangifera similis Bl.","Mangifera similis",,,"Bl."
958,"Mangifera sulavesiana Kosterm.","Mangifera sulavesiana",,,"Kosterm."
