"cwr_id","orig_record","sp","spp","var","auth"
391,"Coffea mufindiensis Hutch. ex Bridson subsp. mufindiensis ","Coffea mufindiensis","mufindiensis",,"Hutch. ex Bridson subsp. mufindiensis "
392,"Coffea mufindiensis subsp. australis Bridson","Coffea mufindiensis","australis",,"Bridson"
393,"Coffea mufindiensis subsp. lundaziensis Bridson","Coffea mufindiensis","lundaziensis",,"Bridson"
394,"Coffea mufindiensis subsp. pawekiana (Bridson) Bridson","Coffea mufindiensis","pawekiana",,"(Bridson)"
395,"Coffea myrtifolia (A.Rich. ex DC.) J.-F.Leroy","Coffea myrtifolia",,,"(A.Rich. ex DC.) J.-F.Leroy"
396,"Coffea perrieri Drake ex Jum. & H.Perrier","Coffea perrieri",,,"Drake ex Jum. & H.Perrier"
397,"Coffea pervilleana (Baill.) Drake","Coffea pervilleana",,,"(Baill.) Drake"
398,"Coffea pocsii Bridson","Coffea pocsii",,,"Bridson"
399,"Coffea pseudozanguebariae Bridson","Coffea pseudozanguebariae",,,"Bridson"
400,"Coffea racemosa Lour.","Coffea racemosa",,,"Lour."
401,"Coffea rakotonasoloi A. P. Davis","Coffea rakotonasoloi",,,"A. P. Davis"
402,"Coffea richardii J.-F. Leroy","Coffea richardii",,,"J.-F. Leroy"
403,"Coffea sahafaryensis J.-F. Leroy","Coffea sahafaryensis",,,"J.-F. Leroy"
404,"Coffea sakarahae J.-F. Leroy","Coffea sakarahae",,,"J.-F. Leroy"
405,"Coffea salvatrix Swynn. & Philipson","Coffea salvatrix",,,"Swynn. & Philipson"
406,"Coffea sambavensis J.-F.Leroy ex A.P.Davis & Rakotonas.","Coffea sambavensis",,,"J.-F.Leroy ex A.P.Davis & Rakotonas."
407,"Coffea schliebenii Bridson","Coffea schliebenii",,,"Bridson"
408,"Coffea sessiliflora Bridson","Coffea sessiliflora",,,"Bridson"
409,"Coffea sessiliflora Bridson subsp. sessiliflora ","Coffea sessiliflora","sessiliflora",,"Bridson subsp. sessiliflora "
410,"Coffea sessiliflora subsp. mwasumbii Bridson","Coffea sessiliflora","mwasumbii",,"Bridson"
411,"Coffea stenophylla G. Don","Coffea stenophylla",,,"G. Don"
412,"Coffea tetragona Jum. & H.Perrier","Coffea tetragona",,,"Jum. & H.Perrier"
413,"Coffea togoensis A. Chev.","Coffea togoensis",,,"A. Chev."
414,"Coffea tricalysioides J.-F. Leroy","Coffea tricalysioides",,,"J.-F. Leroy"
415,"Coffea tsirananae J.-F. Leroy","Coffea tsirananae",,,"J.-F. Leroy"
416,"Coffea vatovavyensis J.-F. Leroy","Coffea vatovavyensis",,,"J.-F. Leroy"
417,"Coffea vavateninensis J.-F. Leroy","Coffea vavateninensis",,,"J.-F. Leroy"
